# Simulation report. 
# Date: 1400/03/04 23:32:53
WorldTime,FullStateCount,StatesWithNoTarget,AgentsWithNoTargetState,AllInTargetAgents,InTargetAgentsInThisTime,UpdatedNextStatesOfAgents,SuccessTravelToGoToNeighbor,FailedTravelToGoToNeighbor,RandomTravelToNeighbors,AgentsInPitfall,TotalTravelToNeighbor
0,0,6,0,7,23,193,25,0,168,0,193
1,0,6,0,30,31,157,49,0,108,13,157
2,0,6,0,61,24,109,41,0,68,30,109
3,0,6,0,85,14,74,32,0,44,39,76
4,0,6,0,99,5,57,15,0,44,42,59
5,0,6,0,104,2,49,15,0,35,46,50
6,0,6,0,106,8,44,17,0,28,49,45
7,0,6,0,114,8,35,10,0,25,51,35
8,0,6,0,122,0,25,4,0,21,53,25
9,0,6,0,122,0,22,6,0,16,56,22
10,0,6,0,122,0,17,5,0,12,61,17
11,0,6,0,122,0,17,6,0,11,61,17
12,0,6,0,122,3,17,3,0,14,61,17
13,0,6,0,125,1,13,1,0,12,62,13
14,0,6,0,126,0,8,2,0,6,66,8
15,0,6,0,126,0,8,1,0,7,66,8
16,0,6,0,126,0,6,0,0,6,68,6
17,0,6,0,126,0,6,2,0,4,68,6
18,0,6,0,126,0,6,0,0,6,68,6
19,0,6,0,126,0,5,3,0,2,69,5
20,0,6,0,126,0,5,1,0,4,69,5
21,0,6,0,126,0,5,2,0,3,69,5
22,0,6,0,126,0,4,2,0,2,70,4
23,0,6,0,126,0,4,0,0,4,70,4
24,0,6,0,126,0,4,1,0,3,70,4
25,0,6,0,126,0,4,1,0,3,70,4
26,0,6,0,126,1,4,1,0,3,70,4
27,0,6,0,127,0,3,0,0,3,70,3
28,0,6,0,127,0,3,1,0,2,70,3
29,0,6,0,127,1,3,1,0,2,70,3
30,0,6,0,128,1,2,0,0,2,70,2
31,0,6,0,129,0,1,0,0,1,70,1
32,0,6,0,129,0,1,0,0,1,70,1
33,0,6,0,129,0,1,0,0,1,70,1
34,0,6,0,129,0,1,1,0,0,70,1
35,0,6,0,129,0,1,0,0,1,70,1
36,0,6,0,129,0,1,1,0,0,70,1
37,0,6,0,129,0,1,0,0,1,70,1
38,0,6,0,129,0,1,1,0,0,70,1
39,0,6,0,129,0,1,0,0,1,70,1
40,0,6,0,129,0,1,0,0,1,70,1
41,0,6,0,129,0,0,0,0,0,71,0
42,0,6,0,129,0,0,0,0,0,71,0
43,0,6,0,129,0,0,0,0,0,71,0
44,0,6,0,129,0,0,0,0,0,71,0
45,0,6,0,129,0,0,0,0,0,71,0
46,0,6,0,129,0,0,0,0,0,71,0
47,0,6,0,129,0,0,0,0,0,71,0
48,0,6,0,129,0,0,0,0,0,71,0
49,0,6,0,129,0,0,0,0,0,71,0
50,0,6,0,129,0,0,0,0,0,71,0
51,0,6,0,129,0,0,0,0,0,71,0
52,0,6,0,129,0,0,0,0,0,71,0
53,0,6,0,129,0,0,0,0,0,71,0
54,0,6,0,129,0,0,0,0,0,71,0
55,0,6,0,129,0,0,0,0,0,71,0
56,0,6,0,129,0,0,0,0,0,71,0
57,0,6,0,129,0,0,0,0,0,71,0
58,0,6,0,129,0,0,0,0,0,71,0
59,0,6,0,129,0,0,0,0,0,71,0
60,0,6,0,129,0,0,0,0,0,71,0
61,0,6,0,129,0,0,0,0,0,71,0
62,0,6,0,129,0,0,0,0,0,71,0
63,0,6,0,129,0,0,0,0,0,71,0
64,0,6,0,129,0,0,0,0,0,71,0
65,0,6,0,129,0,0,0,0,0,71,0
66,0,6,0,129,0,0,0,0,0,71,0
67,0,6,0,129,0,0,0,0,0,71,0
68,0,6,0,129,0,0,0,0,0,71,0
69,0,6,0,129,0,0,0,0,0,71,0
70,0,6,0,129,0,0,0,0,0,71,0
71,0,6,0,129,0,0,0,0,0,71,0
72,0,6,0,129,0,0,0,0,0,71,0
73,0,6,0,129,0,0,0,0,0,71,0
74,0,6,0,129,0,0,0,0,0,71,0
75,0,6,0,129,0,0,0,0,0,71,0
76,0,6,0,129,0,0,0,0,0,71,0
77,0,6,0,129,0,0,0,0,0,71,0
78,0,6,0,129,0,0,0,0,0,71,0
79,0,6,0,129,0,0,0,0,0,71,0
80,0,6,0,129,0,0,0,0,0,71,0
81,0,6,0,129,0,0,0,0,0,71,0
82,0,6,0,129,0,0,0,0,0,71,0
83,0,6,0,129,0,0,0,0,0,71,0
84,0,6,0,129,0,0,0,0,0,71,0
85,0,6,0,129,0,0,0,0,0,71,0
86,0,6,0,129,0,0,0,0,0,71,0
87,0,6,0,129,0,0,0,0,0,71,0
88,0,6,0,129,0,0,0,0,0,71,0
89,0,6,0,129,0,0,0,0,0,71,0
90,0,6,0,129,0,0,0,0,0,71,0
91,0,6,0,129,0,0,0,0,0,71,0
92,0,6,0,129,0,0,0,0,0,71,0
93,0,6,0,129,0,0,0,0,0,71,0
94,0,6,0,129,0,0,0,0,0,71,0
95,0,6,0,129,0,0,0,0,0,71,0
96,0,6,0,129,0,0,0,0,0,71,0
97,0,6,0,129,0,0,0,0,0,71,0
98,0,6,0,129,0,0,0,0,0,71,0
99,0,6,0,129,0,0,0,0,0,71,0
100,0,6,0,129,0,0,0,0,0,71,0
101,0,6,0,129,0,0,0,0,0,71,0
102,0,6,0,129,0,0,0,0,0,71,0
103,0,6,0,129,0,0,0,0,0,71,0
104,0,6,0,129,0,0,0,0,0,71,0
105,0,6,0,129,0,0,0,0,0,71,0
106,0,6,0,129,0,0,0,0,0,71,0
107,0,6,0,129,0,0,0,0,0,71,0
108,0,6,0,129,0,0,0,0,0,71,0
109,0,6,0,129,0,0,0,0,0,71,0
110,0,6,0,129,0,0,0,0,0,71,0
111,0,6,0,129,0,0,0,0,0,71,0
112,0,6,0,129,0,0,0,0,0,71,0
113,0,6,0,129,0,0,0,0,0,71,0
114,0,6,0,129,0,0,0,0,0,71,0
115,0,6,0,129,0,0,0,0,0,71,0
116,0,6,0,129,0,0,0,0,0,71,0
117,0,6,0,129,0,0,0,0,0,71,0
118,0,6,0,129,0,0,0,0,0,71,0
119,0,6,0,129,0,0,0,0,0,71,0
120,0,6,0,129,0,0,0,0,0,71,0
121,0,6,0,129,0,0,0,0,0,71,0
122,0,6,0,129,0,0,0,0,0,71,0
123,0,6,0,129,0,0,0,0,0,71,0
124,0,6,0,129,0,0,0,0,0,71,0
125,0,6,0,129,0,0,0,0,0,71,0
126,0,6,0,129,0,0,0,0,0,71,0
127,0,6,0,129,0,0,0,0,0,71,0
128,0,6,0,129,0,0,0,0,0,71,0
129,0,6,0,129,0,0,0,0,0,71,0
130,0,6,0,129,0,0,0,0,0,71,0
131,0,6,0,129,0,0,0,0,0,71,0
132,0,6,0,129,0,0,0,0,0,71,0
133,0,6,0,129,0,0,0,0,0,71,0
134,0,6,0,129,0,0,0,0,0,71,0
135,0,6,0,129,0,0,0,0,0,71,0
136,0,6,0,129,0,0,0,0,0,71,0
137,0,6,0,129,0,0,0,0,0,71,0
138,0,6,0,129,0,0,0,0,0,71,0
139,0,6,0,129,0,0,0,0,0,71,0
140,0,6,0,129,0,0,0,0,0,71,0
141,0,6,0,129,0,0,0,0,0,71,0
142,0,6,0,129,0,0,0,0,0,71,0
143,0,6,0,129,0,0,0,0,0,71,0
144,0,6,0,129,0,0,0,0,0,71,0
145,0,6,0,129,0,0,0,0,0,71,0
146,0,6,0,129,0,0,0,0,0,71,0
147,0,6,0,129,0,0,0,0,0,71,0
148,0,6,0,129,0,0,0,0,0,71,0
149,0,6,0,129,0,0,0,0,0,71,0
150,0,6,0,129,0,0,0,0,0,71,0
151,0,6,0,129,0,0,0,0,0,71,0
152,0,6,0,129,0,0,0,0,0,71,0
153,0,6,0,129,0,0,0,0,0,71,0
154,0,6,0,129,0,0,0,0,0,71,0
155,0,6,0,129,0,0,0,0,0,71,0
156,0,6,0,129,0,0,0,0,0,71,0
157,0,6,0,129,0,0,0,0,0,71,0
158,0,6,0,129,0,0,0,0,0,71,0
159,0,6,0,129,0,0,0,0,0,71,0
160,0,6,0,129,0,0,0,0,0,71,0
161,0,6,0,129,0,0,0,0,0,71,0
162,0,6,0,129,0,0,0,0,0,71,0
163,0,6,0,129,0,0,0,0,0,71,0
164,0,6,0,129,0,0,0,0,0,71,0
165,0,6,0,129,0,0,0,0,0,71,0
166,0,6,0,129,0,0,0,0,0,71,0
167,0,6,0,129,0,0,0,0,0,71,0
168,0,6,0,129,0,0,0,0,0,71,0
169,0,6,0,129,0,0,0,0,0,71,0
170,0,6,0,129,0,0,0,0,0,71,0
171,0,6,0,129,0,0,0,0,0,71,0
172,0,6,0,129,0,0,0,0,0,71,0
173,0,6,0,129,0,0,0,0,0,71,0
174,0,6,0,129,0,0,0,0,0,71,0
175,0,6,0,129,0,0,0,0,0,71,0
176,0,6,0,129,0,0,0,0,0,71,0
177,0,6,0,129,0,0,0,0,0,71,0
178,0,6,0,129,0,0,0,0,0,71,0
179,0,6,0,129,0,0,0,0,0,71,0
180,0,6,0,129,0,0,0,0,0,71,0
181,0,6,0,129,0,0,0,0,0,71,0
182,0,6,0,129,0,0,0,0,0,71,0
183,0,6,0,129,0,0,0,0,0,71,0
184,0,6,0,129,0,0,0,0,0,71,0
185,0,6,0,129,0,0,0,0,0,71,0
186,0,6,0,129,0,0,0,0,0,71,0
187,0,6,0,129,0,0,0,0,0,71,0
188,0,6,0,129,0,0,0,0,0,71,0
189,0,6,0,129,0,0,0,0,0,71,0
190,0,6,0,129,0,0,0,0,0,71,0
191,0,6,0,129,0,0,0,0,0,71,0
192,0,6,0,129,0,0,0,0,0,71,0
193,0,6,0,129,0,0,0,0,0,71,0
194,0,6,0,129,0,0,0,0,0,71,0
195,0,6,0,129,0,0,0,0,0,71,0
196,0,6,0,129,0,0,0,0,0,71,0
197,0,6,0,129,0,0,0,0,0,71,0
198,0,6,0,129,0,0,0,0,0,71,0
199,0,6,0,129,0,0,0,0,0,71,0
200,0,6,0,129,0,0,0,0,0,71,0
201,0,6,0,129,0,0,0,0,0,71,0
202,0,6,0,129,0,0,0,0,0,71,0
203,0,6,0,129,0,0,0,0,0,71,0
204,0,6,0,129,0,0,0,0,0,71,0
205,0,6,0,129,0,0,0,0,0,71,0
206,0,6,0,129,0,0,0,0,0,71,0
207,0,6,0,129,0,0,0,0,0,71,0
208,0,6,0,129,0,0,0,0,0,71,0
209,0,6,0,129,0,0,0,0,0,71,0
210,0,6,0,129,0,0,0,0,0,71,0
211,0,6,0,129,0,0,0,0,0,71,0
212,0,6,0,129,0,0,0,0,0,71,0
213,0,6,0,129,0,0,0,0,0,71,0
214,0,6,0,129,0,0,0,0,0,71,0
215,0,6,0,129,0,0,0,0,0,71,0
216,0,6,0,129,0,0,0,0,0,71,0
217,0,6,0,129,0,0,0,0,0,71,0
218,0,6,0,129,0,0,0,0,0,71,0
219,0,6,0,129,0,0,0,0,0,71,0
220,0,6,0,129,0,0,0,0,0,71,0
221,0,6,0,129,0,0,0,0,0,71,0
222,0,6,0,129,0,0,0,0,0,71,0
223,0,6,0,129,0,0,0,0,0,71,0
224,0,6,0,129,0,0,0,0,0,71,0
225,0,6,0,129,0,0,0,0,0,71,0
226,0,6,0,129,0,0,0,0,0,71,0
227,0,6,0,129,0,0,0,0,0,71,0
228,0,6,0,129,0,0,0,0,0,71,0
229,0,6,0,129,0,0,0,0,0,71,0
230,0,6,0,129,0,0,0,0,0,71,0
231,0,6,0,129,0,0,0,0,0,71,0
232,0,6,0,129,0,0,0,0,0,71,0
233,0,6,0,129,0,0,0,0,0,71,0
234,0,6,0,129,0,0,0,0,0,71,0
235,0,6,0,129,0,0,0,0,0,71,0
236,0,6,0,129,0,0,0,0,0,71,0
237,0,6,0,129,0,0,0,0,0,71,0
238,0,6,0,129,0,0,0,0,0,71,0
239,0,6,0,129,0,0,0,0,0,71,0
240,0,6,0,129,0,0,0,0,0,71,0
241,0,6,0,129,0,0,0,0,0,71,0
242,0,6,0,129,0,0,0,0,0,71,0
243,0,6,0,129,0,0,0,0,0,71,0
244,0,6,0,129,0,0,0,0,0,71,0
245,0,6,0,129,0,0,0,0,0,71,0
246,0,6,0,129,0,0,0,0,0,71,0
247,0,6,0,129,0,0,0,0,0,71,0
248,0,6,0,129,0,0,0,0,0,71,0
249,0,6,0,129,0,0,0,0,0,71,0
250,0,6,0,129,0,0,0,0,0,71,0
251,0,6,0,129,0,0,0,0,0,71,0
252,0,6,0,129,0,0,0,0,0,71,0
253,0,6,0,129,0,0,0,0,0,71,0
254,0,6,0,129,0,0,0,0,0,71,0
255,0,6,0,129,0,0,0,0,0,71,0
256,0,6,0,129,0,0,0,0,0,71,0
257,0,6,0,129,0,0,0,0,0,71,0
258,0,6,0,129,0,0,0,0,0,71,0
259,0,6,0,129,0,0,0,0,0,71,0
260,0,6,0,129,0,0,0,0,0,71,0
261,0,6,0,129,0,0,0,0,0,71,0
262,0,6,0,129,0,0,0,0,0,71,0
263,0,6,0,129,0,0,0,0,0,71,0
264,0,6,0,129,0,0,0,0,0,71,0
265,0,6,0,129,0,0,0,0,0,71,0
266,0,6,0,129,0,0,0,0,0,71,0
267,0,6,0,129,0,0,0,0,0,71,0
268,0,6,0,129,0,0,0,0,0,71,0
269,0,6,0,129,0,0,0,0,0,71,0
270,0,6,0,129,0,0,0,0,0,71,0
271,0,6,0,129,0,0,0,0,0,71,0
272,0,6,0,129,0,0,0,0,0,71,0
273,0,6,0,129,0,0,0,0,0,71,0
274,0,6,0,129,0,0,0,0,0,71,0
275,0,6,0,129,0,0,0,0,0,71,0
276,0,6,0,129,0,0,0,0,0,71,0
277,0,6,0,129,0,0,0,0,0,71,0
