# Simulation report. 
# Date: 1400/03/05 00:19:17
WorldTime,FullStateCount,StatesWithNoTarget,AgentsWithNoTargetState,AllInTargetAgents,InTargetAgentsInThisTime,UpdatedNextStatesOfAgents,SuccessTravelToGoToNeighbor,FailedTravelToGoToNeighbor,RandomTravelToNeighbors,AgentsInPitfall,TotalTravelToNeighbor
0,0,2,0,0,45,200,50,0,150,0,200
1,0,2,0,45,25,151,50,0,101,4,151
2,0,2,0,70,29,120,51,0,72,7,123
3,0,2,0,99,16,92,29,0,63,9,92
4,0,2,0,115,6,74,15,0,60,10,75
5,0,2,0,121,4,69,19,0,50,10,69
6,0,2,0,125,6,62,18,0,45,12,63
7,0,2,0,131,4,54,15,0,39,15,54
8,0,2,0,135,3,50,9,0,41,15,50
9,0,2,0,138,1,45,13,0,32,17,45
10,0,2,0,139,1,44,6,0,38,17,44
11,0,2,0,140,0,43,8,0,35,17,43
12,0,2,0,140,0,40,7,0,33,20,40
13,0,2,0,140,3,38,8,0,30,22,38
14,0,2,0,143,2,34,6,0,28,23,34
15,0,2,0,145,1,32,5,0,27,23,32
16,0,2,0,146,0,28,9,0,19,26,28
17,0,2,0,146,0,28,5,0,23,26,28
18,0,2,0,146,2,27,5,0,22,27,27
19,0,2,0,148,1,23,8,0,15,29,23
20,0,2,0,149,0,22,3,0,19,29,22
21,0,2,0,149,0,22,6,0,16,29,22
22,0,2,0,149,1,19,2,0,17,32,19
23,0,2,0,150,0,18,3,0,15,32,18
24,0,2,0,150,1,18,4,0,14,32,18
25,0,2,0,151,1,17,2,0,15,32,17
26,0,2,0,152,1,16,6,0,10,32,16
27,0,2,0,153,0,13,4,0,9,34,13
28,0,2,0,153,0,13,3,0,10,34,13
29,0,2,0,153,1,12,2,0,10,35,12
30,0,2,0,154,0,11,2,0,9,35,11
31,0,2,0,154,0,10,2,0,8,36,10
32,0,2,0,154,1,10,2,0,8,36,10
33,0,2,0,155,1,9,3,0,6,36,9
34,0,2,0,156,0,7,1,0,6,37,7
35,0,2,0,156,0,7,2,0,5,37,7
36,0,2,0,156,0,7,2,0,5,37,7
37,0,2,0,156,0,7,1,0,6,37,7
38,0,2,0,156,0,7,3,0,4,37,7
39,0,2,0,156,0,7,0,0,7,37,7
40,0,2,0,156,0,7,2,0,5,37,7
41,0,2,0,156,0,7,2,0,5,37,7
42,0,2,0,156,0,7,1,0,6,37,7
43,0,2,0,156,0,5,0,0,5,39,5
44,0,2,0,156,0,5,0,0,5,39,5
45,0,2,0,156,0,5,2,0,3,39,5
46,0,2,0,156,0,4,2,0,2,40,4
47,0,2,0,156,0,4,1,0,3,40,4
48,0,2,0,156,0,4,0,0,4,40,4
49,0,2,0,156,0,4,1,0,3,40,4
50,0,2,0,156,0,3,0,0,3,41,3
51,0,2,0,156,0,3,1,0,2,41,3
52,0,2,0,156,0,3,1,0,2,41,3
53,0,2,0,156,0,3,1,0,2,41,3
54,0,2,0,156,0,3,1,0,2,41,3
55,0,2,0,156,0,3,2,0,1,41,3
56,0,2,0,156,0,3,0,0,3,41,3
57,0,2,0,156,0,3,1,0,2,41,3
58,0,2,0,156,0,3,0,0,3,41,3
59,0,2,0,156,0,2,1,0,1,42,2
60,0,2,0,156,1,2,1,0,1,42,2
61,0,2,0,157,0,1,0,0,1,42,1
62,0,2,0,157,0,1,0,0,1,42,1
63,0,2,0,157,0,1,0,0,1,42,1
64,0,2,0,157,0,1,0,0,1,42,1
65,0,2,0,157,0,1,0,0,1,42,1
66,0,2,0,157,0,1,0,0,1,42,1
67,0,2,0,157,0,1,0,0,1,42,1
68,0,2,0,157,0,1,1,0,0,42,1
69,0,2,0,157,0,1,0,0,1,42,1
70,0,2,0,157,0,1,0,0,1,42,1
71,0,2,0,157,0,1,1,0,0,42,1
72,0,2,0,157,0,1,0,0,1,42,1
73,0,2,0,157,0,1,1,0,0,42,1
74,0,2,0,157,0,1,0,0,1,42,1
75,0,2,0,157,0,1,0,0,1,42,1
76,0,2,0,157,0,1,0,0,1,42,1
77,0,2,0,157,0,1,0,0,1,42,1
78,0,2,0,157,0,1,1,0,0,42,1
79,0,2,0,157,0,1,0,0,1,42,1
80,0,2,0,157,0,1,0,0,1,42,1
81,0,2,0,157,0,1,0,0,1,42,1
82,0,2,0,157,0,1,0,0,1,42,1
83,0,2,0,157,0,1,0,0,1,42,1
84,0,2,0,157,0,1,1,0,0,42,1
85,0,2,0,157,0,1,0,0,1,42,1
86,0,2,0,157,0,1,0,0,1,42,1
87,0,2,0,157,0,1,0,0,1,42,1
88,0,2,0,157,0,1,0,0,1,42,1
89,0,2,0,157,0,1,0,0,1,42,1
90,0,2,0,157,0,1,0,0,1,42,1
91,0,2,0,157,0,1,1,0,0,42,1
92,0,2,0,157,0,1,0,0,1,42,1
93,0,2,0,157,0,1,1,0,0,42,1
94,0,2,0,157,0,1,0,0,1,42,1
95,0,2,0,157,0,1,0,0,1,42,1
96,0,2,0,157,0,1,0,0,1,42,1
97,0,2,0,157,0,0,0,0,0,43,0
98,0,2,0,157,0,0,0,0,0,43,0
99,0,2,0,157,0,0,0,0,0,43,0
100,0,2,0,157,0,0,0,0,0,43,0
101,0,2,0,157,0,0,0,0,0,43,0
102,0,2,0,157,0,0,0,0,0,43,0
103,0,2,0,157,0,0,0,0,0,43,0
104,0,2,0,157,0,0,0,0,0,43,0
105,0,2,0,157,0,0,0,0,0,43,0
106,0,2,0,157,0,0,0,0,0,43,0
107,0,2,0,157,0,0,0,0,0,43,0
108,0,2,0,157,0,0,0,0,0,43,0
109,0,2,0,157,0,0,0,0,0,43,0
110,0,2,0,157,0,0,0,0,0,43,0
111,0,2,0,157,0,0,0,0,0,43,0
112,0,2,0,157,0,0,0,0,0,43,0
113,0,2,0,157,0,0,0,0,0,43,0
114,0,2,0,157,0,0,0,0,0,43,0
115,0,2,0,157,0,0,0,0,0,43,0
116,0,2,0,157,0,0,0,0,0,43,0
117,0,2,0,157,0,0,0,0,0,43,0
118,0,2,0,157,0,0,0,0,0,43,0
119,0,2,0,157,0,0,0,0,0,43,0
120,0,2,0,157,0,0,0,0,0,43,0
121,0,2,0,157,0,0,0,0,0,43,0
122,0,2,0,157,0,0,0,0,0,43,0
123,0,2,0,157,0,0,0,0,0,43,0
124,0,2,0,157,0,0,0,0,0,43,0
125,0,2,0,157,0,0,0,0,0,43,0
126,0,2,0,157,0,0,0,0,0,43,0
127,0,2,0,157,0,0,0,0,0,43,0
128,0,2,0,157,0,0,0,0,0,43,0
129,0,2,0,157,0,0,0,0,0,43,0
130,0,2,0,157,0,0,0,0,0,43,0
131,0,2,0,157,0,0,0,0,0,43,0
132,0,2,0,157,0,0,0,0,0,43,0
133,0,2,0,157,0,0,0,0,0,43,0
134,0,2,0,157,0,0,0,0,0,43,0
135,0,2,0,157,0,0,0,0,0,43,0
136,0,2,0,157,0,0,0,0,0,43,0
137,0,2,0,157,0,0,0,0,0,43,0
138,0,2,0,157,0,0,0,0,0,43,0
139,0,2,0,157,0,0,0,0,0,43,0
140,0,2,0,157,0,0,0,0,0,43,0
141,0,2,0,157,0,0,0,0,0,43,0
142,0,2,0,157,0,0,0,0,0,43,0
143,0,2,0,157,0,0,0,0,0,43,0
144,0,2,0,157,0,0,0,0,0,43,0
145,0,2,0,157,0,0,0,0,0,43,0
146,0,2,0,157,0,0,0,0,0,43,0
147,0,2,0,157,0,0,0,0,0,43,0
148,0,2,0,157,0,0,0,0,0,43,0
149,0,2,0,157,0,0,0,0,0,43,0
150,0,2,0,157,0,0,0,0,0,43,0
151,0,2,0,157,0,0,0,0,0,43,0
152,0,2,0,157,0,0,0,0,0,43,0
153,0,2,0,157,0,0,0,0,0,43,0
154,0,2,0,157,0,0,0,0,0,43,0
155,0,2,0,157,0,0,0,0,0,43,0
156,0,2,0,157,0,0,0,0,0,43,0
157,0,2,0,157,0,0,0,0,0,43,0
158,0,2,0,157,0,0,0,0,0,43,0
159,0,2,0,157,0,0,0,0,0,43,0
160,0,2,0,157,0,0,0,0,0,43,0
161,0,2,0,157,0,0,0,0,0,43,0
162,0,2,0,157,0,0,0,0,0,43,0
163,0,2,0,157,0,0,0,0,0,43,0
