# Simulation report. 
# Date: 1400/03/05 01:32:06
WorldTime,FullStateCount,StatesWithNoTarget,AgentsWithNoTargetState,AllInTargetAgents,InTargetAgentsInThisTime,UpdatedNextStatesOfAgents,SuccessTravelToGoToNeighbor,FailedTravelToGoToNeighbor,RandomTravelToNeighbors,AgentsInPitfall,TotalTravelToNeighbor
0,0,2,0,0,43,200,50,0,150,0,200
1,0,2,0,43,27,151,53,0,98,6,151
2,0,2,0,70,33,115,36,0,79,15,115
3,0,2,0,103,9,79,28,0,51,18,79
4,0,2,0,112,8,69,17,0,52,19,69
5,0,2,0,120,1,57,17,0,40,23,57
6,0,2,0,121,7,56,19,0,37,23,56
7,0,2,0,128,1,45,10,0,35,27,45
8,0,2,0,129,3,42,8,0,34,29,42
9,0,2,0,132,1,34,9,0,25,34,34
10,0,2,0,133,1,32,11,0,21,35,32
11,0,2,0,134,2,30,4,0,26,36,30
12,0,2,0,136,0,27,7,0,20,37,27
13,0,2,0,136,3,26,4,0,22,38,26
14,0,2,0,139,2,21,5,0,16,40,21
15,0,2,0,141,0,19,8,0,11,40,19
16,0,2,0,141,0,18,2,0,16,41,18
17,0,2,0,141,0,18,2,0,16,41,18
18,0,2,0,141,0,18,4,0,14,41,18
19,0,2,0,141,1,18,3,0,15,41,18
20,0,2,0,142,0,17,4,0,13,41,17
21,0,2,0,142,1,17,6,0,11,41,17
22,0,2,0,143,3,16,3,0,13,41,16
23,0,2,0,146,1,11,4,0,7,43,11
24,0,2,0,147,0,10,1,0,9,43,10
25,0,2,0,147,0,9,1,0,8,44,9
26,0,2,0,147,1,8,0,0,8,45,8
27,0,2,0,148,1,7,3,0,4,45,7
28,0,2,0,149,0,6,1,0,5,45,6
29,0,2,0,149,1,6,2,0,4,45,6
30,0,2,0,150,0,5,2,0,3,45,5
31,0,2,0,150,0,5,2,0,3,45,5
32,0,2,0,150,0,5,2,0,3,45,5
33,0,2,0,150,0,5,1,0,4,45,5
34,0,2,0,150,0,5,2,0,3,45,5
35,0,2,0,150,0,5,0,0,5,45,5
36,0,2,0,150,0,5,3,0,2,45,5
37,0,2,0,150,0,5,1,0,4,45,5
38,0,2,0,150,0,5,1,0,4,45,5
39,0,2,0,150,0,5,2,0,3,45,5
40,0,2,0,150,1,5,1,0,4,45,5
41,0,2,0,151,0,4,1,0,3,45,4
42,0,2,0,151,0,4,0,0,4,45,4
43,0,2,0,151,1,4,1,0,3,45,4
44,0,2,0,152,0,3,0,0,3,45,3
45,0,2,0,152,0,3,0,0,3,45,3
46,0,2,0,152,0,2,0,0,2,46,2
47,0,2,0,152,0,2,0,0,2,46,2
48,0,2,0,152,0,2,0,0,2,46,2
49,0,2,0,152,0,2,0,0,2,46,2
50,0,2,0,152,1,2,1,0,1,46,2
51,0,2,0,153,0,1,0,0,1,46,1
52,0,2,0,153,0,1,0,0,1,46,1
53,0,2,0,153,0,1,0,0,1,46,1
54,0,2,0,153,0,1,0,0,1,46,1
55,0,2,0,153,0,1,0,0,1,46,1
56,0,2,0,153,0,1,0,0,1,46,1
57,0,2,0,153,0,1,1,0,0,46,1
58,0,2,0,153,0,1,0,0,1,46,1
59,0,2,0,153,0,1,0,0,1,46,1
60,0,2,0,153,0,1,0,0,1,46,1
61,0,2,0,153,0,1,0,0,1,46,1
62,0,2,0,153,0,1,0,0,1,46,1
63,0,2,0,153,0,1,0,0,1,46,1
64,0,2,0,153,0,1,0,0,1,46,1
65,0,2,0,153,0,1,1,0,0,46,1
66,0,2,0,153,0,1,0,0,1,46,1
67,0,2,0,153,0,1,0,0,1,46,1
68,0,2,0,153,0,1,0,0,1,46,1
69,0,2,0,153,0,1,0,0,1,46,1
70,0,2,0,153,0,1,0,0,1,46,1
71,0,2,0,153,0,1,0,0,1,46,1
72,0,2,0,153,0,1,0,0,1,46,1
73,0,2,0,153,0,1,0,0,1,46,1
74,0,2,0,153,0,1,0,0,1,46,1
75,0,2,0,153,0,0,0,0,0,47,0
76,0,2,0,153,0,0,0,0,0,47,0
77,0,2,0,153,0,0,0,0,0,47,0
78,0,2,0,153,0,0,0,0,0,47,0
79,0,2,0,153,0,0,0,0,0,47,0
80,0,2,0,153,0,0,0,0,0,47,0
81,0,2,0,153,0,0,0,0,0,47,0
82,0,2,0,153,0,0,0,0,0,47,0
83,0,2,0,153,0,0,0,0,0,47,0
84,0,2,0,153,0,0,0,0,0,47,0
85,0,2,0,153,0,0,0,0,0,47,0
86,0,2,0,153,0,0,0,0,0,47,0
87,0,2,0,153,0,0,0,0,0,47,0
88,0,2,0,153,0,0,0,0,0,47,0
89,0,2,0,153,0,0,0,0,0,47,0
90,0,2,0,153,0,0,0,0,0,47,0
91,0,2,0,153,0,0,0,0,0,47,0
92,0,2,0,153,0,0,0,0,0,47,0
93,0,2,0,153,0,0,0,0,0,47,0
94,0,2,0,153,0,0,0,0,0,47,0
95,0,2,0,153,0,0,0,0,0,47,0
96,0,2,0,153,0,0,0,0,0,47,0
97,0,2,0,153,0,0,0,0,0,47,0
98,0,2,0,153,0,0,0,0,0,47,0
99,0,2,0,153,0,0,0,0,0,47,0
100,0,2,0,153,0,0,0,0,0,47,0
101,0,2,0,153,0,0,0,0,0,47,0
102,0,2,0,153,0,0,0,0,0,47,0
103,0,2,0,153,0,0,0,0,0,47,0
104,0,2,0,153,0,0,0,0,0,47,0
105,0,2,0,153,0,0,0,0,0,47,0
106,0,2,0,153,0,0,0,0,0,47,0
107,0,2,0,153,0,0,0,0,0,47,0
108,0,2,0,153,0,0,0,0,0,47,0
