# Simulation report. 
# Date: 1400/03/05 00:43:18
WorldTime,FullStateCount,StatesWithNoTarget,AgentsWithNoTargetState,AllInTargetAgents,InTargetAgentsInThisTime,UpdatedNextStatesOfAgents,SuccessTravelToGoToNeighbor,FailedTravelToGoToNeighbor,RandomTravelToNeighbors,AgentsInPitfall,TotalTravelToNeighbor
0,0,2,0,0,43,200,50,0,150,0,200
1,0,2,0,43,26,152,54,0,98,5,152
2,0,2,0,69,32,123,52,0,71,8,123
3,0,2,0,101,9,85,34,0,55,10,89
4,0,2,0,110,12,76,21,0,56,13,77
5,0,2,0,122,4,64,23,0,41,14,64
6,0,2,0,126,1,59,11,0,48,15,59
7,0,2,0,127,4,53,7,0,47,19,54
8,0,2,0,131,2,47,12,0,35,22,47
9,0,2,0,133,1,45,10,0,35,22,45
10,0,2,0,134,3,41,11,0,30,25,41
11,0,2,0,137,0,36,5,0,31,27,36
12,0,2,0,137,1,35,10,0,25,28,35
13,0,2,0,138,3,32,10,0,22,30,32
14,0,2,0,141,1,28,7,0,21,31,28
15,0,2,0,142,1,26,5,0,21,32,26
16,0,2,0,143,1,25,3,0,22,32,25
17,0,2,0,144,0,23,8,0,15,33,23
18,0,2,0,144,1,23,4,0,19,33,23
19,0,2,0,145,0,20,5,0,15,35,20
20,0,2,0,145,0,19,6,0,13,36,19
21,0,2,0,145,1,18,6,0,12,37,18
22,0,2,0,146,0,16,4,0,12,38,16
23,0,2,0,146,0,15,5,0,10,39,15
24,0,2,0,146,1,14,0,0,14,40,14
25,0,2,0,147,0,13,6,0,7,40,13
26,0,2,0,147,0,11,0,0,11,42,11
27,0,2,0,147,1,10,4,0,6,43,10
28,0,2,0,148,0,9,1,0,8,43,9
29,0,2,0,148,0,9,2,0,7,43,9
30,0,2,0,148,0,9,2,0,7,43,9
31,0,2,0,148,1,9,1,0,8,43,9
32,0,2,0,149,0,8,0,0,8,43,8
33,0,2,0,149,0,7,2,0,5,44,7
34,0,2,0,149,0,6,1,0,5,45,6
35,0,2,0,149,0,6,0,0,6,45,6
36,0,2,0,149,0,5,1,0,4,46,5
37,0,2,0,149,0,5,1,0,4,46,5
38,0,2,0,149,0,4,1,0,3,47,4
39,0,2,0,149,1,4,1,0,3,47,4
40,0,2,0,150,0,3,1,0,2,47,3
41,0,2,0,150,0,3,1,0,2,47,3
42,0,2,0,150,0,3,1,0,2,47,3
43,0,2,0,150,0,3,0,0,3,47,3
44,0,2,0,150,1,3,1,0,2,47,3
45,0,2,0,151,0,2,0,0,2,47,2
46,0,2,0,151,0,2,1,0,1,47,2
47,0,2,0,151,0,2,0,0,2,47,2
48,0,2,0,151,0,2,2,0,0,47,2
49,0,2,0,151,0,2,0,0,2,47,2
50,0,2,0,151,0,2,1,0,1,47,2
51,0,2,0,151,0,2,1,0,1,47,2
52,0,2,0,151,1,2,0,0,2,47,2
53,0,2,0,152,0,1,0,0,1,47,1
54,0,2,0,152,0,0,0,0,0,48,0
55,0,2,0,152,0,0,0,0,0,48,0
56,0,2,0,152,0,0,0,0,0,48,0
57,0,2,0,152,0,0,0,0,0,48,0
58,0,2,0,152,0,0,0,0,0,48,0
59,0,2,0,152,0,0,0,0,0,48,0
60,0,2,0,152,0,0,0,0,0,48,0
61,0,2,0,152,0,0,0,0,0,48,0
62,0,2,0,152,0,0,0,0,0,48,0
63,0,2,0,152,0,0,0,0,0,48,0
64,0,2,0,152,0,0,0,0,0,48,0
65,0,2,0,152,0,0,0,0,0,48,0
66,0,2,0,152,0,0,0,0,0,48,0
67,0,2,0,152,0,0,0,0,0,48,0
68,0,2,0,152,0,0,0,0,0,48,0
69,0,2,0,152,0,0,0,0,0,48,0
70,0,2,0,152,0,0,0,0,0,48,0
71,0,2,0,152,0,0,0,0,0,48,0
72,0,2,0,152,0,0,0,0,0,48,0
73,0,2,0,152,0,0,0,0,0,48,0
74,0,2,0,152,0,0,0,0,0,48,0
75,0,2,0,152,0,0,0,0,0,48,0
76,0,2,0,152,0,0,0,0,0,48,0
77,0,2,0,152,0,0,0,0,0,48,0
78,0,2,0,152,0,0,0,0,0,48,0
79,0,2,0,152,0,0,0,0,0,48,0
80,0,2,0,152,0,0,0,0,0,48,0
81,0,2,0,152,0,0,0,0,0,48,0
82,0,2,0,152,0,0,0,0,0,48,0
83,0,2,0,152,0,0,0,0,0,48,0
84,0,2,0,152,0,0,0,0,0,48,0
85,0,2,0,152,0,0,0,0,0,48,0
86,0,2,0,152,0,0,0,0,0,48,0
87,0,2,0,152,0,0,0,0,0,48,0
88,0,2,0,152,0,0,0,0,0,48,0
89,0,2,0,152,0,0,0,0,0,48,0
90,0,2,0,152,0,0,0,0,0,48,0
91,0,2,0,152,0,0,0,0,0,48,0
92,0,2,0,152,0,0,0,0,0,48,0
93,0,2,0,152,0,0,0,0,0,48,0
94,0,2,0,152,0,0,0,0,0,48,0
95,0,2,0,152,0,0,0,0,0,48,0
96,0,2,0,152,0,0,0,0,0,48,0
97,0,2,0,152,0,0,0,0,0,48,0
98,0,2,0,152,0,0,0,0,0,48,0
99,0,2,0,152,0,0,0,0,0,48,0
100,0,2,0,152,0,0,0,0,0,48,0
101,0,2,0,152,0,0,0,0,0,48,0
102,0,2,0,152,0,0,0,0,0,48,0
103,0,2,0,152,0,0,0,0,0,48,0
