# Simulation report. 
# Date: 1400/03/05 01:26:52
WorldTime,FullStateCount,StatesWithNoTarget,AgentsWithNoTargetState,AllInTargetAgents,InTargetAgentsInThisTime,UpdatedNextStatesOfAgents,SuccessTravelToGoToNeighbor,FailedTravelToGoToNeighbor,RandomTravelToNeighbors,AgentsInPitfall,TotalTravelToNeighbor
0,0,2,0,0,45,200,50,0,150,0,200
1,0,2,0,45,25,151,54,0,97,4,151
2,0,2,0,70,30,120,51,0,71,8,122
3,0,2,0,100,14,88,35,0,53,12,88
4,0,2,0,114,8,72,17,0,55,14,72
5,0,2,0,122,5,57,16,0,43,19,59
6,0,2,0,127,2,50,9,0,41,23,50
7,0,2,0,129,2,48,8,0,40,23,48
8,0,2,0,131,2,42,14,0,28,27,42
9,0,2,0,133,0,38,7,0,31,29,38
10,0,2,0,133,1,38,7,0,31,29,38
11,0,2,0,134,0,36,8,0,28,30,36
12,0,2,0,134,0,35,9,0,26,31,35
13,0,2,0,134,3,34,8,0,26,32,34
14,0,2,0,137,2,30,7,0,23,33,30
15,0,2,0,139,0,27,6,0,21,34,27
16,0,2,0,139,1,27,13,0,14,34,27
17,0,2,0,140,2,24,6,0,18,36,24
18,0,2,0,142,0,22,1,0,21,36,22
19,0,2,0,142,0,21,6,0,15,37,21
20,0,2,0,142,1,21,4,0,17,37,21
21,0,2,0,143,0,20,4,0,16,37,20
22,0,2,0,143,1,19,5,0,14,38,19
23,0,2,0,144,0,17,2,0,15,39,17
24,0,2,0,144,0,17,1,0,16,39,17
25,0,2,0,144,0,16,5,0,11,40,16
26,0,2,0,144,0,16,5,0,11,40,16
27,0,2,0,144,0,16,2,0,14,40,16
28,0,2,0,144,2,16,3,0,13,40,16
29,0,2,0,146,0,13,4,0,9,41,13
30,0,2,0,146,0,13,5,0,8,41,13
31,0,2,0,146,1,13,2,0,11,41,13
32,0,2,0,147,1,12,3,0,9,41,12
33,0,2,0,148,0,11,2,0,9,41,11
34,0,2,0,148,1,11,3,0,8,41,11
35,0,2,0,149,1,10,3,0,7,41,10
36,0,2,0,150,0,9,1,0,8,41,9
37,0,2,0,150,0,9,2,0,7,41,9
38,0,2,0,150,0,9,0,0,9,41,9
39,0,2,0,150,0,8,1,0,7,42,8
40,0,2,0,150,0,7,1,0,6,43,7
41,0,2,0,150,0,7,3,0,4,43,7
42,0,2,0,150,1,6,1,0,5,44,6
43,0,2,0,151,0,4,0,0,4,45,4
44,0,2,0,151,0,4,2,0,2,45,4
45,0,2,0,151,0,4,0,0,4,45,4
46,0,2,0,151,0,4,1,0,3,45,4
47,0,2,0,151,0,3,0,0,3,46,3
48,0,2,0,151,0,3,1,0,2,46,3
49,0,2,0,151,0,3,1,0,2,46,3
50,0,2,0,151,0,3,0,0,3,46,3
51,0,2,0,151,0,3,0,0,3,46,3
52,0,2,0,151,1,3,0,0,3,46,3
53,0,2,0,152,0,2,0,0,2,46,2
54,0,2,0,152,0,2,1,0,1,46,2
55,0,2,0,152,0,2,0,0,2,46,2
56,0,2,0,152,0,2,0,0,2,46,2
57,0,2,0,152,0,2,0,0,2,46,2
58,0,2,0,152,0,2,0,0,2,46,2
59,0,2,0,152,0,1,0,0,1,47,1
60,0,2,0,152,0,1,0,0,1,47,1
61,0,2,0,152,0,1,1,0,0,47,1
62,0,2,0,152,0,1,0,0,1,47,1
63,0,2,0,152,0,1,0,0,1,47,1
64,0,2,0,152,0,1,0,0,1,47,1
65,0,2,0,152,0,1,1,0,0,47,1
66,0,2,0,152,0,1,0,0,1,47,1
67,0,2,0,152,0,1,0,0,1,47,1
68,0,2,0,152,0,1,1,0,0,47,1
69,0,2,0,152,0,1,0,0,1,47,1
70,0,2,0,152,0,1,0,0,1,47,1
71,0,2,0,152,0,1,1,0,0,47,1
72,0,2,0,152,0,1,0,0,1,47,1
73,0,2,0,152,0,1,0,0,1,47,1
74,0,2,0,152,0,1,0,0,1,47,1
75,0,2,0,152,0,1,1,0,0,47,1
76,0,2,0,152,0,1,0,0,1,47,1
77,0,2,0,152,0,1,1,0,0,47,1
78,0,2,0,152,0,1,0,0,1,47,1
79,0,2,0,152,0,1,1,0,0,47,1
80,0,2,0,152,0,1,0,0,1,47,1
81,0,2,0,152,0,1,0,0,1,47,1
82,0,2,0,152,0,1,0,0,1,47,1
83,0,2,0,152,0,1,1,0,0,47,1
84,0,2,0,152,0,1,0,0,1,47,1
85,0,2,0,152,0,1,1,0,0,47,1
86,0,2,0,152,0,1,0,0,1,47,1
87,0,2,0,152,0,1,0,0,1,47,1
88,0,2,0,152,0,1,1,0,0,47,1
89,0,2,0,152,0,1,1,0,0,47,1
90,0,2,0,152,0,1,0,0,1,47,1
91,0,2,0,152,0,1,0,0,1,47,1
92,0,2,0,152,0,1,0,0,1,47,1
93,0,2,0,152,0,1,0,0,1,47,1
94,0,2,0,152,0,1,0,0,1,47,1
95,0,2,0,152,0,1,0,0,1,47,1
96,0,2,0,152,0,1,0,0,1,47,1
97,0,2,0,152,0,1,0,0,1,47,1
98,0,2,0,152,0,1,0,0,1,47,1
99,0,2,0,152,0,1,0,0,1,47,1
100,0,2,0,152,0,1,0,0,1,47,1
101,0,2,0,152,0,1,0,0,1,47,1
102,0,2,0,152,0,1,1,0,0,47,1
103,0,2,0,152,0,1,0,0,1,47,1
104,0,2,0,152,0,1,1,0,0,47,1
105,0,2,0,152,0,1,0,0,1,47,1
