# Simulation report. 
# Date: 1400/03/05 01:05:53
WorldTime,FullStateCount,StatesWithNoTarget,AgentsWithNoTargetState,AllInTargetAgents,InTargetAgentsInThisTime,UpdatedNextStatesOfAgents,SuccessTravelToGoToNeighbor,FailedTravelToGoToNeighbor,RandomTravelToNeighbors,AgentsInPitfall,TotalTravelToNeighbor
0,0,2,0,0,44,200,50,0,150,0,200
1,0,2,0,44,29,146,55,0,91,10,146
2,0,2,0,73,23,111,41,0,71,15,112
3,0,2,0,96,15,85,30,0,56,18,86
4,0,2,0,111,6,68,18,0,50,21,68
5,0,2,0,117,2,58,19,0,40,24,59
6,0,2,0,119,4,54,14,0,41,26,55
7,0,2,0,123,3,49,11,0,38,28,49
8,0,2,0,126,0,45,9,0,36,29,45
9,0,2,0,126,1,44,8,0,36,30,44
10,0,2,0,127,1,42,8,0,34,31,42
11,0,2,0,128,1,38,8,0,30,34,38
12,0,2,0,129,1,35,4,0,31,36,35
13,0,2,0,130,0,34,7,0,27,36,34
14,0,2,0,130,0,34,5,0,29,36,34
15,0,2,0,130,1,34,7,0,27,36,34
16,0,2,0,131,4,31,2,0,29,38,31
17,0,2,0,135,2,27,4,0,23,38,27
18,0,2,0,137,0,22,4,0,18,41,22
19,0,2,0,137,0,18,3,0,15,45,18
20,0,2,0,137,1,18,3,0,15,45,18
21,0,2,0,138,1,15,4,0,11,47,15
22,0,2,0,139,1,13,2,0,11,48,13
23,0,2,0,140,1,12,3,0,9,48,12
24,0,2,0,141,1,11,3,0,8,48,11
25,0,2,0,142,0,10,1,0,9,48,10
26,0,2,0,142,0,10,4,0,6,48,10
27,0,2,0,142,0,10,2,0,8,48,10
28,0,2,0,142,1,10,4,0,6,48,10
29,0,2,0,143,0,9,0,0,9,48,9
30,0,2,0,143,1,9,1,0,8,48,9
31,0,2,0,144,0,8,1,0,7,48,8
32,0,2,0,144,1,8,4,0,4,48,8
33,0,2,0,145,1,7,1,0,6,48,7
34,0,2,0,146,0,5,1,0,4,49,5
35,0,2,0,146,0,5,0,0,5,49,5
36,0,2,0,146,0,5,0,0,5,49,5
37,0,2,0,146,0,5,0,0,5,49,5
38,0,2,0,146,0,5,2,0,3,49,5
39,0,2,0,146,0,4,0,0,4,50,4
40,0,2,0,146,0,4,1,0,3,50,4
41,0,2,0,146,0,4,1,0,3,50,4
42,0,2,0,146,0,3,0,0,3,51,3
43,0,2,0,146,0,3,1,0,2,51,3
44,0,2,0,146,0,3,0,0,3,51,3
45,0,2,0,146,0,3,1,0,2,51,3
46,0,2,0,146,0,3,0,0,3,51,3
47,0,2,0,146,0,3,0,0,3,51,3
48,0,2,0,146,0,3,1,0,2,51,3
49,0,2,0,146,0,3,0,0,3,51,3
50,0,2,0,146,0,2,0,0,2,52,2
51,0,2,0,146,0,2,1,0,1,52,2
52,0,2,0,146,0,1,0,0,1,53,1
53,0,2,0,146,0,1,0,0,1,53,1
54,0,2,0,146,0,1,0,0,1,53,1
55,0,2,0,146,0,1,0,0,1,53,1
56,0,2,0,146,0,1,1,0,0,53,1
57,0,2,0,146,0,1,0,0,1,53,1
58,0,2,0,146,0,1,1,0,0,53,1
59,0,2,0,146,1,1,0,0,1,53,1
60,0,2,0,147,0,0,0,0,0,53,0
61,0,2,0,147,0,0,0,0,0,53,0
62,0,2,0,147,0,0,0,0,0,53,0
63,0,2,0,147,0,0,0,0,0,53,0
