WorldTime,FullStateCount,StatesWithNoTarget,AgentsWithNoTargetState,AllInTargetAgents,InTargetAgentsInThisTime,UpdatedNextStatesOfAgents,SuccessTravelToGoToNeighbor,FailedTravelToGoToNeighbor,RandomTravelToNeighbors,AgentsInPitfall,TotalTravelToNeighbor
# Simulation report.,,,,,,,,,,,
# Date:,1400/03/05 19:09:47,,,,,,,,,,
0,0,1,0,2,31,498,40,0,458,0,498
1,0,1,0,33,36,465,52,0,413,2,465
2,0,1,0,69,38,428,55,0,374,2,429
3,0,1,0,107,39,388,62,0,328,3,390
4,0,1,0,147,35,345,47,0,300,6,347
5,0,1,0,182,31,310,45,0,265,8,310
6,0,1,0,213,29,275,39,0,236,12,275
7,0,1,0,242,21,244,25,0,219,14,244
8,0,1,0,263,13,222,24,0,198,15,222
9,0,1,0,276,18,208,23,0,185,16,208
10,0,1,0,294,13,189,20,0,169,17,189
11,0,1,0,308,6,173,13,0,161,18,174
12,0,1,0,315,7,167,11,0,156,18,167
13,0,1,0,322,9,158,10,0,148,20,158
14,0,1,0,331,6,149,9,0,140,20,149
15,0,1,0,337,7,141,14,0,128,21,142
16,0,1,0,344,9,134,14,0,121,21,135
17,0,1,0,353,4,126,7,0,119,21,126
18,0,1,0,358,4,120,6,0,114,22,120
19,0,1,0,362,4,115,6,0,109,23,115
20,0,1,0,366,2,111,2,0,109,23,111
21,0,1,0,368,4,109,1,0,108,23,109
22,0,1,0,372,3,104,4,0,100,24,104
23,0,1,0,375,2,101,6,0,95,24,101
24,0,1,0,378,1,98,2,0,96,24,98
25,0,1,0,379,0,97,2,0,95,24,97
26,0,1,0,380,3,96,8,0,88,24,96
27,0,1,0,383,4,92,3,0,89,25,92
28,0,1,0,387,1,88,1,0,87,25,88
29,0,1,0,388,0,86,2,0,84,26,86
30,0,1,0,388,1,86,4,0,82,26,86
31,0,1,0,389,1,85,4,0,81,26,85
32,0,1,0,390,3,84,2,0,82,26,84
33,0,1,0,393,3,80,3,0,77,27,80
34,0,1,0,396,4,77,4,0,73,27,77
35,0,1,0,400,5,73,3,0,70,27,73
36,0,1,0,405,0,67,5,0,62,28,67
37,0,1,0,405,3,67,4,0,63,28,67
38,0,1,0,409,1,63,3,0,60,28,63
39,0,1,0,410,0,62,0,0,62,28,62
40,0,1,0,410,1,62,0,0,62,28,62
41,0,1,0,411,1,61,2,0,59,28,61
42,0,1,0,412,0,59,0,0,59,29,59
43,0,1,0,412,1,59,3,0,56,29,59
44,0,1,0,413,0,58,0,0,58,29,58
45,0,1,0,413,0,58,1,0,57,29,58
46,0,1,0,413,0,58,0,0,58,29,58
47,0,1,0,413,1,58,2,0,56,29,58
48,0,1,0,414,0,57,0,0,57,29,57
49,0,1,0,414,0,57,2,0,55,29,57
50,0,1,0,414,0,57,0,0,57,29,57
51,0,1,0,414,2,56,1,0,55,30,56
