# Simulation report. 
# Date: 1400/03/05 01:06:07
WorldTime,FullStateCount,StatesWithNoTarget,AgentsWithNoTargetState,AllInTargetAgents,InTargetAgentsInThisTime,UpdatedNextStatesOfAgents,SuccessTravelToGoToNeighbor,FailedTravelToGoToNeighbor,RandomTravelToNeighbors,AgentsInPitfall,TotalTravelToNeighbor
0,0,2,0,0,45,200,50,0,150,0,200
1,0,2,0,45,36,145,57,0,88,10,145
2,0,2,0,81,18,103,35,0,69,15,104
3,0,2,0,99,7,80,24,0,59,18,83
4,0,2,0,106,11,74,24,0,51,19,75
5,0,2,0,117,5,61,18,0,43,22,61
6,0,2,0,122,1,54,16,0,38,24,54
7,0,2,0,123,3,49,10,0,39,28,49
8,0,2,0,126,2,43,5,0,38,31,43
9,0,2,0,128,1,37,3,0,34,35,37
10,0,2,0,129,1,33,4,0,29,38,33
11,0,2,0,130,1,31,8,0,23,39,31
12,0,2,0,131,0,30,8,0,22,39,30
13,0,2,0,131,2,27,8,0,19,42,27
14,0,2,0,133,1,22,5,0,17,45,22
15,0,2,0,134,0,20,6,0,14,46,20
16,0,2,0,134,0,19,7,0,12,47,19
17,0,2,0,134,0,19,4,0,15,47,19
18,0,2,0,134,0,18,6,0,12,48,18
19,0,2,0,134,1,18,2,0,16,48,18
20,0,2,0,135,0,15,4,0,11,50,15
21,0,2,0,135,0,14,2,0,12,51,14
22,0,2,0,135,0,12,8,0,4,53,12
23,0,2,0,135,0,12,3,0,9,53,12
24,0,2,0,135,0,12,4,0,8,53,12
25,0,2,0,135,0,12,2,0,10,53,12
26,0,2,0,135,0,12,1,0,11,53,12
27,0,2,0,135,0,11,2,0,9,54,11
28,0,2,0,135,0,11,0,0,11,54,11
29,0,2,0,135,1,11,2,0,9,54,11
30,0,2,0,136,0,9,4,0,5,55,9
31,0,2,0,136,0,9,2,0,7,55,9
32,0,2,0,136,0,9,3,0,6,55,9
33,0,2,0,136,0,9,3,0,6,55,9
34,0,2,0,136,0,8,1,0,7,56,8
35,0,2,0,136,0,8,1,0,7,56,8
36,0,2,0,136,0,8,2,0,6,56,8
37,0,2,0,136,1,7,1,0,6,57,7
38,0,2,0,137,1,6,1,0,5,57,6
39,0,2,0,138,1,5,1,0,4,57,5
40,0,2,0,139,0,4,1,0,3,57,4
41,0,2,0,139,0,4,1,0,3,57,4
42,0,2,0,139,1,3,0,0,3,58,3
43,0,2,0,140,0,2,0,0,2,58,2
44,0,2,0,140,1,2,0,0,2,58,2
45,0,2,0,141,0,1,0,0,1,58,1
46,0,2,0,141,0,1,0,0,1,58,1
47,0,2,0,141,0,1,0,0,1,58,1
48,0,2,0,141,0,0,0,0,0,59,0
49,0,2,0,141,0,0,0,0,0,59,0
50,0,2,0,141,0,0,0,0,0,59,0
51,0,2,0,141,0,0,0,0,0,59,0
52,0,2,0,141,0,0,0,0,0,59,0
53,0,2,0,141,0,0,0,0,0,59,0
54,0,2,0,141,0,0,0,0,0,59,0
55,0,2,0,141,0,0,0,0,0,59,0
56,0,2,0,141,0,0,0,0,0,59,0
57,0,2,0,141,0,0,0,0,0,59,0
58,0,2,0,141,0,0,0,0,0,59,0
59,0,2,0,141,0,0,0,0,0,59,0
60,0,2,0,141,0,0,0,0,0,59,0
61,0,2,0,141,0,0,0,0,0,59,0
62,0,2,0,141,0,0,0,0,0,59,0
63,0,2,0,141,0,0,0,0,0,59,0
64,0,2,0,141,0,0,0,0,0,59,0
65,0,2,0,141,0,0,0,0,0,59,0
66,0,2,0,141,0,0,0,0,0,59,0
67,0,2,0,141,0,0,0,0,0,59,0
68,0,2,0,141,0,0,0,0,0,59,0
69,0,2,0,141,0,0,0,0,0,59,0
70,0,2,0,141,0,0,0,0,0,59,0
71,0,2,0,141,0,0,0,0,0,59,0
72,0,2,0,141,0,0,0,0,0,59,0
73,0,2,0,141,0,0,0,0,0,59,0
74,0,2,0,141,0,0,0,0,0,59,0
75,0,2,0,141,0,0,0,0,0,59,0
76,0,2,0,141,0,0,0,0,0,59,0
77,0,2,0,141,0,0,0,0,0,59,0
78,0,2,0,141,0,0,0,0,0,59,0
79,0,2,0,141,0,0,0,0,0,59,0
80,0,2,0,141,0,0,0,0,0,59,0
81,0,2,0,141,0,0,0,0,0,59,0
82,0,2,0,141,0,0,0,0,0,59,0
83,0,2,0,141,0,0,0,0,0,59,0
84,0,2,0,141,0,0,0,0,0,59,0
85,0,2,0,141,0,0,0,0,0,59,0
86,0,2,0,141,0,0,0,0,0,59,0
87,0,2,0,141,0,0,0,0,0,59,0
88,0,2,0,141,0,0,0,0,0,59,0
89,0,2,0,141,0,0,0,0,0,59,0
90,0,2,0,141,0,0,0,0,0,59,0
91,0,2,0,141,0,0,0,0,0,59,0
92,0,2,0,141,0,0,0,0,0,59,0
93,0,2,0,141,0,0,0,0,0,59,0
94,0,2,0,141,0,0,0,0,0,59,0
95,0,2,0,141,0,0,0,0,0,59,0
96,0,2,0,141,0,0,0,0,0,59,0
97,0,2,0,141,0,0,0,0,0,59,0
98,0,2,0,141,0,0,0,0,0,59,0
99,0,2,0,141,0,0,0,0,0,59,0
100,0,2,0,141,0,0,0,0,0,59,0
101,0,2,0,141,0,0,0,0,0,59,0
102,0,2,0,141,0,0,0,0,0,59,0
103,0,2,0,141,0,0,0,0,0,59,0
104,0,2,0,141,0,0,0,0,0,59,0
105,0,2,0,141,0,0,0,0,0,59,0
106,0,2,0,141,0,0,0,0,0,59,0
107,0,2,0,141,0,0,0,0,0,59,0
108,0,2,0,141,0,0,0,0,0,59,0
109,0,2,0,141,0,0,0,0,0,59,0
110,0,2,0,141,0,0,0,0,0,59,0
111,0,2,0,141,0,0,0,0,0,59,0
112,0,2,0,141,0,0,0,0,0,59,0
113,0,2,0,141,0,0,0,0,0,59,0
114,0,2,0,141,0,0,0,0,0,59,0
115,0,2,0,141,0,0,0,0,0,59,0
116,0,2,0,141,0,0,0,0,0,59,0
117,0,2,0,141,0,0,0,0,0,59,0
118,0,2,0,141,0,0,0,0,0,59,0
119,0,2,0,141,0,0,0,0,0,59,0
120,0,2,0,141,0,0,0,0,0,59,0
121,0,2,0,141,0,0,0,0,0,59,0
122,0,2,0,141,0,0,0,0,0,59,0
123,0,2,0,141,0,0,0,0,0,59,0
124,0,2,0,141,0,0,0,0,0,59,0
125,0,2,0,141,0,0,0,0,0,59,0
126,0,2,0,141,0,0,0,0,0,59,0
127,0,2,0,141,0,0,0,0,0,59,0
128,0,2,0,141,0,0,0,0,0,59,0
129,0,2,0,141,0,0,0,0,0,59,0
130,0,2,0,141,0,0,0,0,0,59,0
131,0,2,0,141,0,0,0,0,0,59,0
132,0,2,0,141,0,0,0,0,0,59,0
133,0,2,0,141,0,0,0,0,0,59,0
134,0,2,0,141,0,0,0,0,0,59,0
135,0,2,0,141,0,0,0,0,0,59,0
136,0,2,0,141,0,0,0,0,0,59,0
137,0,2,0,141,0,0,0,0,0,59,0
138,0,2,0,141,0,0,0,0,0,59,0
139,0,2,0,141,0,0,0,0,0,59,0
140,0,2,0,141,0,0,0,0,0,59,0
141,0,2,0,141,0,0,0,0,0,59,0
142,0,2,0,141,0,0,0,0,0,59,0
143,0,2,0,141,0,0,0,0,0,59,0
144,0,2,0,141,0,0,0,0,0,59,0
145,0,2,0,141,0,0,0,0,0,59,0
146,0,2,0,141,0,0,0,0,0,59,0
147,0,2,0,141,0,0,0,0,0,59,0
148,0,2,0,141,0,0,0,0,0,59,0
