# Simulation report. 
# Date: 1400/03/05 00:57:33
WorldTime,FullStateCount,StatesWithNoTarget,AgentsWithNoTargetState,AllInTargetAgents,InTargetAgentsInThisTime,UpdatedNextStatesOfAgents,SuccessTravelToGoToNeighbor,FailedTravelToGoToNeighbor,RandomTravelToNeighbors,AgentsInPitfall,TotalTravelToNeighbor
0,0,2,0,0,44,200,50,0,150,0,200
1,0,2,0,44,29,148,50,0,98,8,148
2,0,2,0,73,19,107,43,0,65,19,108
3,0,2,0,92,14,84,35,0,51,22,86
4,0,2,0,106,10,71,16,0,55,23,71
5,0,2,0,116,4,56,15,0,41,28,56
6,0,2,0,120,3,51,15,0,36,29,51
7,0,2,0,123,2,47,8,0,39,30,47
8,0,2,0,125,1,45,9,0,36,30,45
9,0,2,0,126,1,42,10,0,32,32,42
10,0,2,0,127,0,39,8,0,31,34,39
11,0,2,0,127,2,37,7,0,30,36,37
12,0,2,0,129,2,32,7,0,25,39,32
13,0,2,0,131,1,27,3,0,24,42,27
14,0,2,0,132,0,25,8,0,17,43,25
15,0,2,0,132,1,25,3,0,22,43,25
16,0,2,0,133,0,24,3,0,21,43,24
17,0,2,0,133,1,21,2,0,19,46,21
18,0,2,0,134,1,20,5,0,15,46,20
19,0,2,0,135,1,19,4,0,15,46,19
20,0,2,0,136,1,18,5,0,13,46,18
21,0,2,0,137,2,17,2,0,15,46,17
22,0,2,0,139,0,15,2,0,13,46,15
23,0,2,0,139,0,13,1,0,12,48,13
24,0,2,0,139,0,13,3,0,10,48,13
25,0,2,0,139,0,12,2,0,10,49,12
26,0,2,0,139,0,12,1,0,11,49,12
27,0,2,0,139,0,12,4,0,8,49,12
28,0,2,0,139,1,11,3,0,8,50,11
29,0,2,0,140,1,10,0,0,10,50,10
30,0,2,0,141,1,9,2,0,7,50,9
31,0,2,0,142,0,8,0,0,8,50,8
32,0,2,0,142,0,7,0,0,7,51,7
33,0,2,0,142,1,6,2,0,4,52,6
34,0,2,0,143,1,5,0,0,5,52,5
35,0,2,0,144,1,4,1,0,3,52,4
36,0,2,0,145,1,3,0,0,3,52,3
37,0,2,0,146,0,2,1,0,1,52,2
38,0,2,0,146,1,2,0,0,2,52,2
39,0,2,0,147,0,1,0,0,1,52,1
40,0,2,0,147,0,1,0,0,1,52,1
41,0,2,0,147,0,1,1,0,0,52,1
42,0,2,0,147,1,1,0,0,1,52,1
