# Simulation report. 
# Date: 1400/03/04 23:34:14
WorldTime,FullStateCount,StatesWithNoTarget,AgentsWithNoTargetState,AllInTargetAgents,InTargetAgentsInThisTime,UpdatedNextStatesOfAgents,SuccessTravelToGoToNeighbor,FailedTravelToGoToNeighbor,RandomTravelToNeighbors,AgentsInPitfall,TotalTravelToNeighbor
0,0,2,0,0,44,200,50,0,150,0,200
1,0,2,0,44,29,148,55,0,93,8,148
2,0,2,0,73,24,109,44,0,66,17,110
3,0,2,0,97,10,84,22,0,63,18,85
4,0,2,0,107,8,70,19,0,52,22,71
5,0,2,0,115,3,62,18,0,44,23,62
6,0,2,0,118,7,58,11,0,47,24,58
7,0,2,0,125,2,50,11,0,39,25,50
8,0,2,0,127,4,46,7,0,39,27,46
9,0,2,0,131,0,41,6,0,35,28,41
10,0,2,0,131,2,40,12,0,28,29,40
11,0,2,0,133,3,36,7,0,29,31,36
12,0,2,0,136,4,32,6,0,26,32,32
13,0,2,0,140,0,27,5,0,22,33,27
14,0,2,0,140,1,26,7,0,19,34,26
15,0,2,0,141,0,25,7,0,18,34,25
16,0,2,0,141,0,24,7,0,17,35,24
17,0,2,0,141,0,24,4,0,20,35,24
18,0,2,0,141,1,24,3,0,21,35,24
19,0,2,0,142,2,23,6,0,17,35,23
20,0,2,0,144,2,19,4,0,15,37,19
21,0,2,0,146,0,16,2,0,14,38,16
22,0,2,0,146,0,15,1,0,14,39,15
23,0,2,0,146,0,12,2,0,10,42,12
24,0,2,0,146,0,11,3,0,8,43,11
25,0,2,0,146,0,9,3,0,6,45,9
26,0,2,0,146,1,9,1,0,8,45,9
27,0,2,0,147,0,7,2,0,5,46,7
28,0,2,0,147,0,7,2,0,5,46,7
29,0,2,0,147,0,7,0,0,7,46,7
30,0,2,0,147,0,7,1,0,6,46,7
31,0,2,0,147,0,7,1,0,6,46,7
32,0,2,0,147,1,7,1,0,6,46,7
33,0,2,0,148,0,5,1,0,4,47,5
34,0,2,0,148,0,5,2,0,3,47,5
35,0,2,0,148,0,5,2,0,3,47,5
36,0,2,0,148,0,5,0,0,5,47,5
37,0,2,0,148,0,5,1,0,4,47,5
38,0,2,0,148,0,5,2,0,3,47,5
39,0,2,0,148,0,5,1,0,4,47,5
40,0,2,0,148,0,5,1,0,4,47,5
41,0,2,0,148,1,5,0,0,5,47,5
42,0,2,0,149,0,3,0,0,3,48,3
43,0,2,0,149,0,3,1,0,2,48,3
44,0,2,0,149,0,3,1,0,2,48,3
45,0,2,0,149,0,3,2,0,1,48,3
46,0,2,0,149,0,3,0,0,3,48,3
47,0,2,0,149,0,3,1,0,2,48,3
48,0,2,0,149,0,3,2,0,1,48,3
49,0,2,0,149,1,3,0,0,3,48,3
50,0,2,0,150,0,2,0,0,2,48,2
51,0,2,0,150,0,2,1,0,1,48,2
52,0,2,0,150,0,1,0,0,1,49,1
53,0,2,0,150,0,1,0,0,1,49,1
54,0,2,0,150,0,1,0,0,1,49,1
55,0,2,0,150,0,1,0,0,1,49,1
56,0,2,0,150,0,1,0,0,1,49,1
57,0,2,0,150,0,1,1,0,0,49,1
58,0,2,0,150,0,1,0,0,1,49,1
59,0,2,0,150,0,1,1,0,0,49,1
60,0,2,0,150,0,1,0,0,1,49,1
61,0,2,0,150,0,1,0,0,1,49,1
62,0,2,0,150,0,1,0,0,1,49,1
63,0,2,0,150,0,1,1,0,0,49,1
64,0,2,0,150,0,1,0,0,1,49,1
65,0,2,0,150,0,1,0,0,1,49,1
66,0,2,0,150,0,1,0,0,1,49,1
