# Simulation report. 
# Date: 1400/03/05 01:24:14
WorldTime,FullStateCount,StatesWithNoTarget,AgentsWithNoTargetState,AllInTargetAgents,InTargetAgentsInThisTime,UpdatedNextStatesOfAgents,SuccessTravelToGoToNeighbor,FailedTravelToGoToNeighbor,RandomTravelToNeighbors,AgentsInPitfall,TotalTravelToNeighbor
0,0,2,0,0,46,200,50,0,150,0,200
1,0,2,0,46,30,149,47,0,102,5,149
2,0,2,0,76,25,110,34,0,77,13,111
3,0,2,0,101,12,82,30,0,53,16,83
4,0,2,0,113,11,71,25,0,46,16,71
5,0,2,0,124,3,58,12,0,47,17,59
6,0,2,0,127,2,49,13,0,36,24,49
7,0,2,0,129,2,45,4,0,41,26,45
8,0,2,0,131,3,42,4,0,38,27,42
9,0,2,0,134,1,36,3,0,33,30,36
10,0,2,0,135,2,32,6,0,26,33,32
11,0,2,0,137,0,30,7,0,23,33,30
12,0,2,0,137,2,29,8,0,21,34,29
13,0,2,0,139,1,27,2,0,25,34,27
14,0,2,0,140,0,24,6,0,18,36,24
15,0,2,0,140,1,22,4,0,18,38,22
16,0,2,0,141,1,20,2,0,18,39,20
17,0,2,0,142,0,19,2,0,17,39,19
18,0,2,0,142,0,19,5,0,14,39,19
19,0,2,0,142,0,19,0,0,19,39,19
20,0,2,0,142,2,19,3,0,16,39,19
21,0,2,0,144,1,16,3,0,13,40,16
22,0,2,0,145,0,14,1,0,13,41,14
23,0,2,0,145,1,14,2,0,12,41,14
24,0,2,0,146,0,13,2,0,11,41,13
25,0,2,0,146,0,12,3,0,9,42,12
26,0,2,0,146,1,12,0,0,12,42,12
27,0,2,0,147,0,10,3,0,7,43,10
28,0,2,0,147,0,9,0,0,9,44,9
29,0,2,0,147,0,7,2,0,5,46,7
30,0,2,0,147,0,7,0,0,7,46,7
31,0,2,0,147,0,5,0,0,5,48,5
32,0,2,0,147,0,4,1,0,3,49,4
33,0,2,0,147,0,3,0,0,3,50,3
34,0,2,0,147,0,3,0,0,3,50,3
35,0,2,0,147,0,3,0,0,3,50,3
36,0,2,0,147,0,3,1,0,2,50,3
37,0,2,0,147,1,3,0,0,3,50,3
38,0,2,0,148,0,2,0,0,2,50,2
