# Simulation report. 
# Date: 1400/03/05 00:47:19
WorldTime,FullStateCount,StatesWithNoTarget,AgentsWithNoTargetState,AllInTargetAgents,InTargetAgentsInThisTime,UpdatedNextStatesOfAgents,SuccessTravelToGoToNeighbor,FailedTravelToGoToNeighbor,RandomTravelToNeighbors,AgentsInPitfall,TotalTravelToNeighbor
0,0,2,0,0,44,200,50,0,150,0,200
1,0,2,0,44,23,151,45,0,106,5,151
2,0,2,0,67,33,122,48,0,75,10,123
3,0,2,0,100,12,83,32,0,51,17,83
4,0,2,0,112,9,68,19,0,51,18,70
5,0,2,0,121,5,54,16,0,38,25,54
6,0,2,0,126,1,46,9,0,37,28,46
7,0,2,0,127,0,41,12,0,29,32,41
8,0,2,0,127,1,41,10,0,31,32,41
9,0,2,0,128,0,39,9,0,30,33,39
10,0,2,0,128,1,38,8,0,30,34,38
11,0,2,0,129,3,35,5,0,30,36,35
12,0,2,0,132,2,32,6,0,26,36,32
13,0,2,0,134,3,30,8,0,22,36,30
14,0,2,0,137,2,24,6,0,18,39,24
15,0,2,0,139,1,21,4,0,17,40,21
16,0,2,0,140,0,19,2,0,17,41,19
17,0,2,0,140,0,19,3,0,16,41,19
18,0,2,0,140,2,19,3,0,16,41,19
19,0,2,0,142,1,17,3,0,14,41,17
20,0,2,0,143,0,16,1,0,15,41,16
21,0,2,0,143,0,15,2,0,13,42,15
22,0,2,0,143,0,15,7,0,8,42,15
23,0,2,0,143,0,14,2,0,12,43,14
24,0,2,0,143,0,14,3,0,11,43,14
25,0,2,0,143,0,14,4,0,10,43,14
26,0,2,0,143,0,14,4,0,10,43,14
27,0,2,0,143,0,13,2,0,11,44,13
28,0,2,0,143,0,13,1,0,12,44,13
29,0,2,0,143,0,13,1,0,12,44,13
30,0,2,0,143,2,13,0,0,13,44,13
31,0,2,0,145,0,11,0,0,11,44,11
32,0,2,0,145,0,11,2,0,9,44,11
33,0,2,0,145,0,11,0,0,11,44,11
34,0,2,0,145,1,11,2,0,9,44,11
35,0,2,0,146,0,9,2,0,7,45,9
36,0,2,0,146,1,9,2,0,7,45,9
37,0,2,0,147,1,8,2,0,6,45,8
38,0,2,0,148,0,7,2,0,5,45,7
39,0,2,0,148,0,7,1,0,6,45,7
40,0,2,0,148,0,6,1,0,5,46,6
41,0,2,0,148,0,6,0,0,6,46,6
42,0,2,0,148,0,6,1,0,5,46,6
43,0,2,0,148,0,6,0,0,6,46,6
44,0,2,0,148,0,5,1,0,4,47,5
45,0,2,0,148,0,5,2,0,3,47,5
46,0,2,0,148,0,5,0,0,5,47,5
47,0,2,0,148,0,5,1,0,4,47,5
48,0,2,0,148,0,5,1,0,4,47,5
49,0,2,0,148,0,5,1,0,4,47,5
50,0,2,0,148,0,4,0,0,4,48,4
51,0,2,0,148,0,4,1,0,3,48,4
52,0,2,0,148,0,4,1,0,3,48,4
53,0,2,0,148,0,3,0,0,3,49,3
54,0,2,0,148,0,3,0,0,3,49,3
55,0,2,0,148,0,3,1,0,2,49,3
56,0,2,0,148,0,3,1,0,2,49,3
57,0,2,0,148,0,3,0,0,3,49,3
58,0,2,0,148,0,3,0,0,3,49,3
59,0,2,0,148,0,3,0,0,3,49,3
60,0,2,0,148,0,3,0,0,3,49,3
61,0,2,0,148,1,3,1,0,2,49,3
62,0,2,0,149,0,2,1,0,1,49,2
63,0,2,0,149,0,2,1,0,1,49,2
64,0,2,0,149,0,2,0,0,2,49,2
65,0,2,0,149,0,2,0,0,2,49,2
66,0,2,0,149,0,2,0,0,2,49,2
67,0,2,0,149,0,1,1,0,0,50,1
68,0,2,0,149,0,1,0,0,1,50,1
69,0,2,0,149,0,1,0,0,1,50,1
70,0,2,0,149,0,1,0,0,1,50,1
71,0,2,0,149,0,1,0,0,1,50,1
72,0,2,0,149,0,1,0,0,1,50,1
73,0,2,0,149,0,1,0,0,1,50,1
74,0,2,0,149,0,1,0,0,1,50,1
75,0,2,0,149,0,1,0,0,1,50,1
76,0,2,0,149,0,1,0,0,1,50,1
77,0,2,0,149,1,1,0,0,1,50,1
78,0,2,0,150,0,0,0,0,0,50,0
79,0,2,0,150,0,0,0,0,0,50,0
80,0,2,0,150,0,0,0,0,0,50,0
81,0,2,0,150,0,0,0,0,0,50,0
82,0,2,0,150,0,0,0,0,0,50,0
83,0,2,0,150,0,0,0,0,0,50,0
84,0,2,0,150,0,0,0,0,0,50,0
85,0,2,0,150,0,0,0,0,0,50,0
86,0,2,0,150,0,0,0,0,0,50,0
87,0,2,0,150,0,0,0,0,0,50,0
88,0,2,0,150,0,0,0,0,0,50,0
89,0,2,0,150,0,0,0,0,0,50,0
90,0,2,0,150,0,0,0,0,0,50,0
91,0,2,0,150,0,0,0,0,0,50,0
92,0,2,0,150,0,0,0,0,0,50,0
93,0,2,0,150,0,0,0,0,0,50,0
94,0,2,0,150,0,0,0,0,0,50,0
95,0,2,0,150,0,0,0,0,0,50,0
96,0,2,0,150,0,0,0,0,0,50,0
97,0,2,0,150,0,0,0,0,0,50,0
98,0,2,0,150,0,0,0,0,0,50,0
99,0,2,0,150,0,0,0,0,0,50,0
100,0,2,0,150,0,0,0,0,0,50,0
101,0,2,0,150,0,0,0,0,0,50,0
102,0,2,0,150,0,0,0,0,0,50,0
103,0,2,0,150,0,0,0,0,0,50,0
104,0,2,0,150,0,0,0,0,0,50,0
105,0,2,0,150,0,0,0,0,0,50,0
106,0,2,0,150,0,0,0,0,0,50,0
107,0,2,0,150,0,0,0,0,0,50,0
108,0,2,0,150,0,0,0,0,0,50,0
109,0,2,0,150,0,0,0,0,0,50,0
110,0,2,0,150,0,0,0,0,0,50,0
111,0,2,0,150,0,0,0,0,0,50,0
112,0,2,0,150,0,0,0,0,0,50,0
113,0,2,0,150,0,0,0,0,0,50,0
114,0,2,0,150,0,0,0,0,0,50,0
115,0,2,0,150,0,0,0,0,0,50,0
116,0,2,0,150,0,0,0,0,0,50,0
117,0,2,0,150,0,0,0,0,0,50,0
