# Simulation report. 
# Date: 1400/03/05 01:36:02
WorldTime,FullStateCount,StatesWithNoTarget,AgentsWithNoTargetState,AllInTargetAgents,InTargetAgentsInThisTime,UpdatedNextStatesOfAgents,SuccessTravelToGoToNeighbor,FailedTravelToGoToNeighbor,RandomTravelToNeighbors,AgentsInPitfall,TotalTravelToNeighbor
0,0,2,0,0,44,200,50,0,150,0,200
1,0,2,0,44,31,150,54,0,96,6,150
2,0,2,0,75,23,112,36,0,76,13,112
3,0,2,0,98,11,86,28,0,59,15,87
4,0,2,0,109,11,73,30,0,43,18,73
5,0,2,0,120,6,59,17,0,42,21,59
6,0,2,0,126,2,49,14,0,36,24,50
7,0,2,0,128,4,43,9,0,34,29,43
8,0,2,0,132,2,39,5,0,34,29,39
9,0,2,0,134,1,34,7,0,27,32,34
10,0,2,0,135,3,33,5,0,28,32,33
11,0,2,0,138,0,28,8,0,20,34,28
12,0,2,0,138,2,26,4,0,22,36,26
13,0,2,0,140,1,23,4,0,19,37,23
14,0,2,0,141,0,20,2,0,18,39,20
15,0,2,0,141,0,19,4,0,15,40,19
16,0,2,0,141,2,19,4,0,15,40,19
17,0,2,0,143,0,16,2,0,14,41,16
18,0,2,0,143,0,16,4,0,12,41,16
19,0,2,0,143,0,15,1,0,14,42,15
20,0,2,0,143,0,13,3,0,10,44,13
21,0,2,0,143,1,12,2,0,10,45,12
22,0,2,0,144,0,10,2,0,8,46,10
23,0,2,0,144,0,10,0,0,10,46,10
24,0,2,0,144,0,10,3,0,7,46,10
25,0,2,0,144,1,10,0,0,10,46,10
26,0,2,0,145,0,9,0,0,9,46,9
27,0,2,0,145,0,9,2,0,7,46,9
28,0,2,0,145,0,9,1,0,8,46,9
29,0,2,0,145,0,8,3,0,5,47,8
30,0,2,0,145,0,7,2,0,5,48,7
31,0,2,0,145,0,6,1,0,5,49,6
32,0,2,0,145,0,6,1,0,5,49,6
33,0,2,0,145,0,5,2,0,3,50,5
34,0,2,0,145,0,5,1,0,4,50,5
35,0,2,0,145,0,5,1,0,4,50,5
