# Simulation report. 
# Date: 1400/03/05 00:59:36
WorldTime,FullStateCount,StatesWithNoTarget,AgentsWithNoTargetState,AllInTargetAgents,InTargetAgentsInThisTime,UpdatedNextStatesOfAgents,SuccessTravelToGoToNeighbor,FailedTravelToGoToNeighbor,RandomTravelToNeighbors,AgentsInPitfall,TotalTravelToNeighbor
0,0,2,0,0,46,200,50,0,150,0,200
1,0,2,0,46,24,151,47,0,104,3,151
2,0,2,0,70,32,117,53,0,66,11,119
3,0,2,0,102,13,81,21,0,61,16,82
4,0,2,0,115,7,63,24,0,40,21,64
5,0,2,0,122,5,56,10,0,46,22,56
6,0,2,0,127,3,50,17,0,33,23,50
7,0,2,0,130,1,45,11,0,34,25,45
8,0,2,0,131,2,41,12,0,29,28,41
9,0,2,0,133,1,37,9,0,28,30,37
10,0,2,0,134,0,36,7,0,29,30,36
11,0,2,0,134,1,34,7,0,27,32,34
12,0,2,0,135,0,31,9,0,22,34,31
13,0,2,0,135,0,30,5,0,25,35,30
14,0,2,0,135,0,27,8,0,19,38,27
15,0,2,0,135,0,24,3,0,21,41,24
16,0,2,0,135,0,24,5,0,19,41,24
17,0,2,0,135,0,24,2,0,22,41,24
18,0,2,0,135,0,23,8,0,15,42,23
19,0,2,0,135,0,22,6,0,16,43,22
20,0,2,0,135,1,21,3,0,18,44,21
21,0,2,0,136,2,19,5,0,14,45,19
22,0,2,0,138,1,17,5,0,12,45,17
23,0,2,0,139,0,16,2,0,14,45,16
24,0,2,0,139,1,16,4,0,12,45,16
25,0,2,0,140,0,14,1,0,13,46,14
26,0,2,0,140,1,14,8,0,6,46,14
27,0,2,0,141,0,12,1,0,11,47,12
28,0,2,0,141,0,12,4,0,8,47,12
29,0,2,0,141,0,12,3,0,9,47,12
30,0,2,0,141,0,10,2,0,8,49,10
31,0,2,0,141,0,10,2,0,8,49,10
32,0,2,0,141,0,10,1,0,9,49,10
33,0,2,0,141,0,10,1,0,9,49,10
34,0,2,0,141,0,9,3,0,6,50,9
35,0,2,0,141,0,9,1,0,8,50,9
36,0,2,0,141,0,8,3,0,5,51,8
37,0,2,0,141,1,8,2,0,6,51,8
38,0,2,0,142,0,6,2,0,4,52,6
39,0,2,0,142,0,6,0,0,6,52,6
40,0,2,0,142,1,5,1,0,4,53,5
41,0,2,0,143,2,3,1,0,2,54,3
42,0,2,0,145,0,1,0,0,1,54,1
43,0,2,0,145,0,1,0,0,1,54,1
44,0,2,0,145,0,1,1,0,0,54,1
45,0,2,0,145,0,1,0,0,1,54,1
46,0,2,0,145,0,1,0,0,1,54,1
47,0,2,0,145,0,1,0,0,1,54,1
48,0,2,0,145,0,1,0,0,1,54,1
49,0,2,0,145,0,1,0,0,1,54,1
50,0,2,0,145,0,1,0,0,1,54,1
51,0,2,0,145,0,1,0,0,1,54,1
52,0,2,0,145,0,1,0,0,1,54,1
53,0,2,0,145,0,1,0,0,1,54,1
54,0,2,0,145,0,1,0,0,1,54,1
55,0,2,0,145,0,1,0,0,1,54,1
56,0,2,0,145,0,1,1,0,0,54,1
57,0,2,0,145,0,1,0,0,1,54,1
58,0,2,0,145,0,1,0,0,1,54,1
59,0,2,0,145,0,1,0,0,1,54,1
