# Simulation report. 
# Date: 1400/03/05 00:30:51
WorldTime,FullStateCount,StatesWithNoTarget,AgentsWithNoTargetState,AllInTargetAgents,InTargetAgentsInThisTime,UpdatedNextStatesOfAgents,SuccessTravelToGoToNeighbor,FailedTravelToGoToNeighbor,RandomTravelToNeighbors,AgentsInPitfall,TotalTravelToNeighbor
0,0,2,0,0,44,200,50,0,150,0,200
1,0,2,0,44,32,150,60,0,90,6,150
2,0,2,0,76,31,111,44,0,68,12,112
3,0,2,0,107,14,75,25,0,50,18,75
4,0,2,0,121,4,56,18,0,39,22,57
5,0,2,0,125,6,52,8,0,44,23,52
6,0,2,0,131,2,44,8,0,37,24,45
7,0,2,0,133,5,40,10,0,30,27,40
8,0,2,0,138,1,35,7,0,28,27,35
9,0,2,0,139,0,33,5,0,28,28,33
10,0,2,0,139,2,29,4,0,25,32,29
11,0,2,0,141,0,26,6,0,20,33,26
12,0,2,0,141,1,25,3,0,22,34,25
13,0,2,0,142,0,24,8,0,16,34,24
14,0,2,0,142,0,22,4,0,18,36,22
15,0,2,0,142,0,20,1,0,19,38,20
16,0,2,0,142,0,20,3,0,17,38,20
17,0,2,0,142,1,19,2,0,17,39,19
18,0,2,0,143,0,17,5,0,12,40,17
19,0,2,0,143,0,16,4,0,12,41,16
20,0,2,0,143,0,16,5,0,11,41,16
21,0,2,0,143,0,16,2,0,14,41,16
22,0,2,0,143,0,15,2,0,13,42,15
23,0,2,0,143,0,14,4,0,10,43,14
24,0,2,0,143,0,12,0,0,12,45,12
25,0,2,0,143,0,11,2,0,9,46,11
26,0,2,0,143,1,11,2,0,9,46,11
27,0,2,0,144,0,10,3,0,7,46,10
28,0,2,0,144,0,10,1,0,9,46,10
29,0,2,0,144,0,10,1,0,9,46,10
30,0,2,0,144,0,9,2,0,7,47,9
31,0,2,0,144,0,9,1,0,8,47,9
32,0,2,0,144,0,9,2,0,7,47,9
33,0,2,0,144,1,8,2,0,6,48,8
34,0,2,0,145,0,7,0,0,7,48,7
35,0,2,0,145,0,5,0,0,5,50,5
36,0,2,0,145,0,5,2,0,3,50,5
37,0,2,0,145,0,5,1,0,4,50,5
38,0,2,0,145,1,5,2,0,3,50,5
39,0,2,0,146,0,4,1,0,3,50,4
40,0,2,0,146,0,4,0,0,4,50,4
41,0,2,0,146,0,4,2,0,2,50,4
42,0,2,0,146,0,4,0,0,4,50,4
43,0,2,0,146,0,3,0,0,3,51,3
44,0,2,0,146,0,3,2,0,1,51,3
45,0,2,0,146,0,3,0,0,3,51,3
46,0,2,0,146,0,3,2,0,1,51,3
47,0,2,0,146,0,3,0,0,3,51,3
48,0,2,0,146,0,3,0,0,3,51,3
49,0,2,0,146,0,3,1,0,2,51,3
50,0,2,0,146,0,3,0,0,3,51,3
51,0,2,0,146,0,2,0,0,2,52,2
52,0,2,0,146,0,2,0,0,2,52,2
53,0,2,0,146,0,2,1,0,1,52,2
54,0,2,0,146,1,2,0,0,2,52,2
55,0,2,0,147,0,1,0,0,1,52,1
56,0,2,0,147,0,1,1,0,0,52,1
57,0,2,0,147,1,1,0,0,1,52,1
58,0,2,0,148,0,0,0,0,0,52,0
59,0,2,0,148,0,0,0,0,0,52,0
60,0,2,0,148,0,0,0,0,0,52,0
61,0,2,0,148,0,0,0,0,0,52,0
62,0,2,0,148,0,0,0,0,0,52,0
63,0,2,0,148,0,0,0,0,0,52,0
64,0,2,0,148,0,0,0,0,0,52,0
65,0,2,0,148,0,0,0,0,0,52,0
66,0,2,0,148,0,0,0,0,0,52,0
67,0,2,0,148,0,0,0,0,0,52,0
68,0,2,0,148,0,0,0,0,0,52,0
69,0,2,0,148,0,0,0,0,0,52,0
70,0,2,0,148,0,0,0,0,0,52,0
71,0,2,0,148,0,0,0,0,0,52,0
72,0,2,0,148,0,0,0,0,0,52,0
73,0,2,0,148,0,0,0,0,0,52,0
74,0,2,0,148,0,0,0,0,0,52,0
75,0,2,0,148,0,0,0,0,0,52,0
76,0,2,0,148,0,0,0,0,0,52,0
77,0,2,0,148,0,0,0,0,0,52,0
78,0,2,0,148,0,0,0,0,0,52,0
79,0,2,0,148,0,0,0,0,0,52,0
80,0,2,0,148,0,0,0,0,0,52,0
81,0,2,0,148,0,0,0,0,0,52,0
82,0,2,0,148,0,0,0,0,0,52,0
83,0,2,0,148,0,0,0,0,0,52,0
84,0,2,0,148,0,0,0,0,0,52,0
85,0,2,0,148,0,0,0,0,0,52,0
86,0,2,0,148,0,0,0,0,0,52,0
87,0,2,0,148,0,0,0,0,0,52,0
88,0,2,0,148,0,0,0,0,0,52,0
89,0,2,0,148,0,0,0,0,0,52,0
90,0,2,0,148,0,0,0,0,0,52,0
91,0,2,0,148,0,0,0,0,0,52,0
92,0,2,0,148,0,0,0,0,0,52,0
93,0,2,0,148,0,0,0,0,0,52,0
94,0,2,0,148,0,0,0,0,0,52,0
95,0,2,0,148,0,0,0,0,0,52,0
96,0,2,0,148,0,0,0,0,0,52,0
97,0,2,0,148,0,0,0,0,0,52,0
98,0,2,0,148,0,0,0,0,0,52,0
99,0,2,0,148,0,0,0,0,0,52,0
100,0,2,0,148,0,0,0,0,0,52,0
101,0,2,0,148,0,0,0,0,0,52,0
102,0,2,0,148,0,0,0,0,0,52,0
