# Simulation report. 
# Date: 1400/03/04 23:46:25
WorldTime,FullStateCount,StatesWithNoTarget,AgentsWithNoTargetState,AllInTargetAgents,InTargetAgentsInThisTime,UpdatedNextStatesOfAgents,SuccessTravelToGoToNeighbor,FailedTravelToGoToNeighbor,RandomTravelToNeighbors,AgentsInPitfall,TotalTravelToNeighbor
0,0,2,0,0,44,200,50,0,150,0,200
1,0,2,0,44,31,148,55,0,93,8,148
2,0,2,0,75,24,106,37,0,72,16,109
3,0,2,0,99,11,78,29,0,49,23,78
4,0,2,0,110,3,64,18,0,47,25,65
5,0,2,0,113,4,57,12,0,45,30,57
6,0,2,0,117,3,50,8,0,42,33,50
7,0,2,0,120,3,46,7,0,39,34,46
8,0,2,0,123,1,43,2,0,41,34,43
9,0,2,0,124,2,40,6,0,34,36,40
10,0,2,0,126,3,37,7,0,30,37,37
11,0,2,0,129,1,34,6,0,28,37,34
12,0,2,0,130,0,31,6,0,25,39,31
13,0,2,0,130,0,29,5,0,24,41,29
14,0,2,0,130,1,27,4,0,23,43,27
15,0,2,0,131,2,26,5,0,21,43,26
16,0,2,0,133,1,23,4,0,19,44,23
17,0,2,0,134,0,22,2,0,20,44,22
18,0,2,0,134,2,21,5,0,16,45,21
19,0,2,0,136,0,19,4,0,15,45,19
20,0,2,0,136,2,19,4,0,15,45,19
21,0,2,0,138,0,15,5,0,10,47,15
22,0,2,0,138,1,14,1,0,13,48,14
23,0,2,0,139,0,12,2,0,10,49,12
24,0,2,0,139,0,12,3,0,9,49,12
25,0,2,0,139,2,12,1,0,11,49,12
26,0,2,0,141,0,8,2,0,6,51,8
27,0,2,0,141,0,8,2,0,6,51,8
28,0,2,0,141,2,8,1,0,7,51,8
29,0,2,0,143,0,6,0,0,6,51,6
30,0,2,0,143,1,6,0,0,6,51,6
31,0,2,0,144,0,5,0,0,5,51,5
32,0,2,0,144,1,5,0,0,5,51,5
33,0,2,0,145,0,4,0,0,4,51,4
34,0,2,0,145,0,4,1,0,3,51,4
35,0,2,0,145,0,4,1,0,3,51,4
36,0,2,0,145,1,4,0,0,4,51,4
37,0,2,0,146,0,3,0,0,3,51,3
38,0,2,0,146,0,3,0,0,3,51,3
39,0,2,0,146,1,3,1,0,2,51,3
40,0,2,0,147,0,2,0,0,2,51,2
41,0,2,0,147,0,2,0,0,2,51,2
42,0,2,0,147,0,2,1,0,1,51,2
43,0,2,0,147,0,2,0,0,2,51,2
44,0,2,0,147,0,2,1,0,1,51,2
45,0,2,0,147,0,2,0,0,2,51,2
46,0,2,0,147,0,2,1,0,1,51,2
47,0,2,0,147,1,2,0,0,2,51,2
48,0,2,0,148,0,1,0,0,1,51,1
49,0,2,0,148,0,1,1,0,0,51,1
50,0,2,0,148,0,1,0,0,1,51,1
51,0,2,0,148,0,1,0,0,1,51,1
52,0,2,0,148,0,1,0,0,1,51,1
53,0,2,0,148,0,1,0,0,1,51,1
54,0,2,0,148,0,1,0,0,1,51,1
55,0,2,0,148,0,1,0,0,1,51,1
56,0,2,0,148,0,1,0,0,1,51,1
57,0,2,0,148,0,1,0,0,1,51,1
58,0,2,0,148,0,1,0,0,1,51,1
59,0,2,0,148,0,1,0,0,1,51,1
60,0,2,0,148,0,1,0,0,1,51,1
61,0,2,0,148,0,1,0,0,1,51,1
62,0,2,0,148,0,1,0,0,1,51,1
63,0,2,0,148,0,1,0,0,1,51,1
64,0,2,0,148,0,1,0,0,1,51,1
65,0,2,0,148,0,1,0,0,1,51,1
66,0,2,0,148,0,1,0,0,1,51,1
67,0,2,0,148,0,1,0,0,1,51,1
68,0,2,0,148,0,1,1,0,0,51,1
69,0,2,0,148,0,1,0,0,1,51,1
70,0,2,0,148,0,1,0,0,1,51,1
71,0,2,0,148,0,1,0,0,1,51,1
72,0,2,0,148,0,1,0,0,1,51,1
73,0,2,0,148,0,1,0,0,1,51,1
74,0,2,0,148,0,1,0,0,1,51,1
75,0,2,0,148,0,1,0,0,1,51,1
76,0,2,0,148,0,1,0,0,1,51,1
77,0,2,0,148,0,0,0,0,0,52,0
78,0,2,0,148,0,0,0,0,0,52,0
79,0,2,0,148,0,0,0,0,0,52,0
80,0,2,0,148,0,0,0,0,0,52,0
81,0,2,0,148,0,0,0,0,0,52,0
82,0,2,0,148,0,0,0,0,0,52,0
83,0,2,0,148,0,0,0,0,0,52,0
84,0,2,0,148,0,0,0,0,0,52,0
85,0,2,0,148,0,0,0,0,0,52,0
86,0,2,0,148,0,0,0,0,0,52,0
87,0,2,0,148,0,0,0,0,0,52,0
88,0,2,0,148,0,0,0,0,0,52,0
89,0,2,0,148,0,0,0,0,0,52,0
90,0,2,0,148,0,0,0,0,0,52,0
91,0,2,0,148,0,0,0,0,0,52,0
92,0,2,0,148,0,0,0,0,0,52,0
93,0,2,0,148,0,0,0,0,0,52,0
94,0,2,0,148,0,0,0,0,0,52,0
95,0,2,0,148,0,0,0,0,0,52,0
96,0,2,0,148,0,0,0,0,0,52,0
97,0,2,0,148,0,0,0,0,0,52,0
98,0,2,0,148,0,0,0,0,0,52,0
99,0,2,0,148,0,0,0,0,0,52,0
100,0,2,0,148,0,0,0,0,0,52,0
101,0,2,0,148,0,0,0,0,0,52,0
102,0,2,0,148,0,0,0,0,0,52,0
103,0,2,0,148,0,0,0,0,0,52,0
104,0,2,0,148,0,0,0,0,0,52,0
105,0,2,0,148,0,0,0,0,0,52,0
106,0,2,0,148,0,0,0,0,0,52,0
107,0,2,0,148,0,0,0,0,0,52,0
108,0,2,0,148,0,0,0,0,0,52,0
109,0,2,0,148,0,0,0,0,0,52,0
110,0,2,0,148,0,0,0,0,0,52,0
111,0,2,0,148,0,0,0,0,0,52,0
112,0,2,0,148,0,0,0,0,0,52,0
113,0,2,0,148,0,0,0,0,0,52,0
114,0,2,0,148,0,0,0,0,0,52,0
115,0,2,0,148,0,0,0,0,0,52,0
116,0,2,0,148,0,0,0,0,0,52,0
117,0,2,0,148,0,0,0,0,0,52,0
118,0,2,0,148,0,0,0,0,0,52,0
119,0,2,0,148,0,0,0,0,0,52,0
120,0,2,0,148,0,0,0,0,0,52,0
121,0,2,0,148,0,0,0,0,0,52,0
122,0,2,0,148,0,0,0,0,0,52,0
123,0,2,0,148,0,0,0,0,0,52,0
124,0,2,0,148,0,0,0,0,0,52,0
125,0,2,0,148,0,0,0,0,0,52,0
126,0,2,0,148,0,0,0,0,0,52,0
127,0,2,0,148,0,0,0,0,0,52,0
128,0,2,0,148,0,0,0,0,0,52,0
129,0,2,0,148,0,0,0,0,0,52,0
130,0,2,0,148,0,0,0,0,0,52,0
131,0,2,0,148,0,0,0,0,0,52,0
132,0,2,0,148,0,0,0,0,0,52,0
133,0,2,0,148,0,0,0,0,0,52,0
134,0,2,0,148,0,0,0,0,0,52,0
135,0,2,0,148,0,0,0,0,0,52,0
136,0,2,0,148,0,0,0,0,0,52,0
137,0,2,0,148,0,0,0,0,0,52,0
138,0,2,0,148,0,0,0,0,0,52,0
139,0,2,0,148,0,0,0,0,0,52,0
140,0,2,0,148,0,0,0,0,0,52,0
141,0,2,0,148,0,0,0,0,0,52,0
142,0,2,0,148,0,0,0,0,0,52,0
143,0,2,0,148,0,0,0,0,0,52,0
144,0,2,0,148,0,0,0,0,0,52,0
145,0,2,0,148,0,0,0,0,0,52,0
146,0,2,0,148,0,0,0,0,0,52,0
147,0,2,0,148,0,0,0,0,0,52,0
148,0,2,0,148,0,0,0,0,0,52,0
149,0,2,0,148,0,0,0,0,0,52,0
150,0,2,0,148,0,0,0,0,0,52,0
151,0,2,0,148,0,0,0,0,0,52,0
152,0,2,0,148,0,0,0,0,0,52,0
153,0,2,0,148,0,0,0,0,0,52,0
154,0,2,0,148,0,0,0,0,0,52,0
